event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exhibition__Galleries__artnou,event_maplink__1,event_id
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/NG-2016_Buenas-intenciones-Targeto_AR.jpg","ADN Galeria","","http://www.artbarcelona.es/artnou/en/expositions/good-intentions/","Núria Güell","","28.05.16 – 09.09.16","ADN Galeria","Good Intentions","null","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/good-intentions/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/BLUE-PROJECT-FOUNDATION-Satorre.jpg","Blueproject Foundation","","http://www.artbarcelona.es/artnou/en/expositions/jorge-satorre/","Jorge Satorre","","06.07.16 – 28.08.16","Blueproject Foundation","null","null","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/jorge-satorre/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Gerard-Ort--n-----Vijfhoek.jpg","Galeria Estrany – de la Mota","","","Gerard Ortín","30.06.16 – 16.09.16","30.06.16 – 16.09.16","Galeria Estrany – de la Mota","Vijfhoek","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/vijfhoek/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/TRAMA-Saturacion.jpg","Galeria Trama","","","Joan Cabrer i Di+La","16.06.16 – 05.08.16","16.06.16 – 05.08.16","Galeria Trama","null","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/joan-cabre-i-dila/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Passatge-studio.jpg","Passatge Studio","","","Marcel Rubio & Víctor Balcells","30.06.16 – 09.07.16","30.06.16 – 09.07.16","Passatge Studio","Zarathustra’s muscles","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/zarathustras-muscles/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/ngelsBCN-drawing-1.jpg","àngels barcelona – espai 2","","http://www.artbarcelona.es/artnou/en/expositions/enesima-intempestiva/","Ánder Pérez, Pol Ricart, Diogo da Cruz, Jaume Clotet, Lua Coderch","","11.06.16 – 07.06.16","àngels barcelona – espai 2","Enésima Intempestiva","""It's amazing: here's the present moment, but in the blink of an eye disappears. (...) However, then returns as a ghost to disrupt the calm of a later present"".
Nietzsche, Friedrich. Segunda Intempestiva
""Enésima Intempestiva"" draws attention to nietzschean philosophy in order to claim the necessity to return to a slow time. In opposite to his proposal to learn to look back in order to go forward, we are living in an homogeneous succession of presents which run aimless and out of control. That is why we find in the untimely -not occurring at a suitable time or season- how to decelerate the frenzy rhythm in which we are immersed.
To recover a tranquil pace is the only way to regain a full life we want to repeat uncountable times. Thus, both critic and bellicose attitude that runs through ""Untiemely Meditations"" (in Spanish ""Consideraciones Intempestivas"") and the idea of ​​eternal return, underlies us the theoretical framework of the exhibition.
Curated by On Mediation","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/enesima-intempestiva/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/2015_Riu-2-2_mireiaterrado.jpg","La Escocesa, Centre de Creació","","http://www.artbarcelona.es/artnou/en/expositions/meanings-how-to-represent-an-idea/","Mireia Terrado","","30.06.16 – 17.07.16","La Escocesa, Centre de Creació","Meanings. How to represent an idea.","Meanings. How to represent an idea is an exhibition that shows drawings and photographs that are part of a multidisciplinary art project, a field work about the Llobregat river. These works are based on the images we have learned to represent what we know as a river, the idea of a river. And they suggest a willingness to rethink the conventional way of representing the natural flow of water that goes into the sea, a lake or another river, without resorting to conventional drawing strategies, while also highlighting the boundaries of visual language with which the artist encounters when she or he wants to represent reality.

""Despite the universal nature of visual language, the image is a cultural product, which makes its meaning could change considerably depending on who reads the image. Inevitably I belong to a particular context in which I learned to read the visual language and the images representing what is around to me. As a spectator, I interpret and I understand a meaning, while I wonder if this should be the only one to be attributed to that image. In my artwork, I try to understand the visual signs that we have learned to represent the reality we know, how we interpreted them and how new ones are generated. I use visual products that I've learned to represent reality and I make new ones trying to explore the boundaries of the images that make them understandable to the audience.""","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/meanings-how-to-represent-an-idea/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Gerard-Ort--n-----Vijfhoek.jpg","Galeria Estrany – de la Mota","","http://www.artbarcelona.es/artnou/en/expositions/vijfhoek/","Gerard Ortín","","30.06.16 – 16.09.16","Galeria Estrany – de la Mota","Vijfhoek","The exhibition Vijfhoek, of the artist Gerard Ortín, presents the homonymous project developed at Diemer Vijfhoek in 2015. Vijfhoek is a green area in Diemen, municipality east of Amsterdam. It is a pentagonal artificial peninsula grown as the result of sand mining that took place in the seventies in order to build dikes to protect the power plant supplying electricity to the east of Amsterdam and Diemen. The artist organized a walk-performance across the peninsula to explore the notion of toxicity in nature through a tactile walk across the rough nettle fields. A guide accompanied the participants and gave them some guidelines for the tour and information about the history of the place and its surroundings, which had been used as a chemical dump.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/vijfhoek/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/FIDEL-BALAGUER-Grisart_15.jpg","Galeria Balaguer","","","Daniel Solsona","07.07.16 – 31.07.16","07.07.16 – 31.07.16","Galeria Balaguer","Anagnórisis","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/anagnorisis/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/2015_Riu-2-2_mireiaterrado.jpg","La Escocesa, Centre de Creació","","","Mireia Terrado","30.06.16 – 17.07.16","30.06.16 – 17.07.16","La Escocesa, Centre de Creació","Meanings. How to represent an idea.","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/meanings-how-to-represent-an-idea/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/captura-de-pantalla-2016-06-07-a-les-12-49-12.png","Arranz-Bravo Foundation","","http://www.artbarcelona.es/artnou/en/expositions/stronghold/","Carlos Valverde","","10.06.16 – 10.09.16","Arranz-Bravo Foundation","Stronghold","THREE STRENGTHS
THREE TEAMS
A TREASURE
THE FIRST IS THAT catch them
Arranz Bravo Foundation  + Homessession + Sant Jaume de la Fep
Participate and register 
Team Black: black.stronghold@carlos-valverde.com
Red Team: red.stronghold@carlos-valverde.com
Team Blue: blue.stronghold@carlos-valverde.com","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/stronghold/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/NG-2016_Buenas-intenciones-Targeto_AR.jpg","ADN Galeria","","","Núria Güell","28.05.16 – 09.09.16","28.05.16 – 09.09.16","ADN Galeria","Good Intentions","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/good-intentions/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/senda-31.jpg","Senda – LAB","","","Estefanía Urrutia","22.06.16 – 08.07.16","22.06.16 – 08.07.16","Senda – LAB","Phosphorescence","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/phosphorescence/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/01pfluegerstr.jpg","Galeria H2O","","http://www.artbarcelona.es/artnou/en/expositions/zu-verschenken/","Berta Cusó","","30.06.16 – 29.07.16","Galeria H2O","Zu Verschenken","Zu Verschenken (to give) is an ongoing project that explores the phenomena of a specific informal economy in the streets of Berlin operating slightly outside the margins of the law and beyond capitalistic exchange.
What Berliners don’t need anymore, they don’t throw away, but leave it in the streets. Whatever one finds in the streets, can be taken home. It is a strange unspoken agreement, everybody knows it, most accept it and many take part in this social practice.
There is no exchange transaction between giver and taker. It is a transfer that works in two independent actions: the object is placed in the street, often with a little note that says “zu verschenken” (to give), whoever passing by recognizes it as a finding, takes it home.
The status of these objects is some kind of limbo: between ownerships, potentially useful but decaying outdoors, displayed for an unconditional appropriation, but illegal.
As if they were price tags they have little notes attached to them, instead, this is not what they are. They say “To give”, “To take away”, “Clean and disinfected”, “Dear neighbor, it is clear that no one is interested in this stuff, it would be good if you could take care of them yourself. Thank you!”  In contrast to price tags, they are not the names for the abstract phenomena of economic value, but they evaluate the use value in a communicative exchange between giver and taker.
The city becomes a depot - storage of free objects that appear, disappear, and eventually reappear in a constantly changing constellation. The impossible collection of these temporary available elements constitutes an infinite inventory and a new mapping of the city, that can only be grasped by fragments and never completed.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/zu-verschenken/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_1344.jpg","etHALL","","","Antoni Hervás","25.06.16 – 30.07.16","25.06.16 – 30.07.16","etHALL","Agón","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/agon/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/20160504193121-1.jpg","Centre Cívic Can Felipa","","http://www.artbarcelona.es/artnou/en/expositions/la-contrarrevolucion-de-los-caballos/","Rafa M. Mota, Irene de Andrés, Jacobo Bugarín, Ignacio Navas, Alán Carrasco, Colectivo NIE, Franco Moragues, Lua Coderch","","10.05.16 – 16.07.16","Centre Cívic Can Felipa","La contrarrevolución de los caballos","Esta exposición nos invita a revisitar los años 90 en el Estado español, década que se puede considerar fundacional de un paradigma de gobernanza del que somos herederos. Más allá del relato de la Transición propone un ejercicio de imaginación política para cuestionarnos las narrativas heredadas y revisar, a través de nuestras historias personales, algunos de los eventos de nuestra normalizada democracia. ¿Cómo recuperar la memoria de nuestra historia reciente? ¿Dónde estabas tú durante aquellos años y qué recuerdas?","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/la-contrarrevolucion-de-los-caballos/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/invisible.jpg","Espai Colona","","","José Castrellón, Raphael Salazar","12.06.16 – 31.07.16","12.06.16 – 31.07.16","Espai Colona","invisible-invencible","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/invisible-invencible/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/FUNDACIO-JOAN-MIRO-Rosana-Antoli.jpg","Fundació Joan Miró","","","Rosana Antolí","30.06.16 – 11.09.16","30.06.16 – 11.09.16","Fundació Joan Miró","null","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/rosana-antoli/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/FIDEL-BALAGUER-Grisart_15.jpg","Galeria Balaguer","","http://www.artbarcelona.es/artnou/en/expositions/anagnorisis/","Daniel Solsona","","07.07.16 – 31.07.16","Galeria Balaguer","Anagnórisis","""In Anagnórisis, Daniel Solsona tries to approach through a diary of bodies and intimate settings, to his own existential concerns. It is a process of self-knowledge that comes from the word ""anagnórsis"" (from ancient Greek, ""recognition""). Filled with medium shots, painterly references and dreaminess, his universe of buildings, walls, windows, curtains and night scenes, becomes a scene of exhibitionism, disturbance and finally liberation. Anagnórisis transmits a cinematographic sensuality without putting distance from the strong influence of authors like Paulo Nozolino, Antoine d' Agata and Michael Ackermann.""
Natasha Christia","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/anagnorisis/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/61.jpg","Victor Lope Arte Contemporáneo","","http://www.artbarcelona.es/artnou/en/expositions/material1/","Matthias Heiderich","","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Material","For a hundred years, architecture has been recognized as an undisputable trademark of German photography. From Albert Renger-Patzsch to Karl-Hugo Schmolz and of course Hilla and Bernd Becher, many innovators of architectural photography are indeed German. 
German photography has led the world into a new understanding of our relationship to the urban and man-made environment. It revealed how photographs of architecture are important, not only as art, but also as a testimony of time, trends and evolution, as documentary of buildings that have since been destroyed. Matthias Heiderich’s photos are not the exceptions to the rule. The influence of the German tradition is omnipresent in his work. With the same rigor and pragmatism as the Bechers, Heiderich also creates typologies of industrial buildings and structures. Just like them, he isn’t interested in the human form and yet each of his photos is full of humanity, emphasizing how each building is a product of human mind and skill.
“Material“ is a collection of Heiderich’s work produced between 2012 and 2016.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/material1/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Passatge-studio.jpg","Passatge Studio","","http://www.artbarcelona.es/artnou/en/expositions/zarathustras-muscles/","Marcel Rubio & Víctor Balcells","","30.06.16 – 09.07.16","Passatge Studio","Zarathustra’s muscles","Zarathustra's muscles is a four hands project between artist Marcel Rubio and writer Víctor Balcells. The two authors will develop a joined, free and delirious creation based on some of the passages of Nietzsche's celebrated book, Thus spoke Zarathustra.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/zarathustras-muscles/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/captura-de-pantalla-2016-06-07-a-les-12-49-12.png","Arranz-Bravo Foundation","","","Carlos Valverde","10.06.16 – 10.09.16","10.06.16 – 10.09.16","Arranz-Bravo Foundation","Stronghold","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/stronghold/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/16_b113_70_70_Sint--tulo_acrilic-sobre-tela-i-70x70cm.jpg","N2 Galeria","","","Joan Saló","30.06.16 – 30.07.16","30.06.16 – 30.07.16","N2 Galeria","Hic-Stans","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/hic-stans/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/BLUE-PROJECT-FOUNDATION-Satorre.jpg","Blueproject Foundation","","","Jorge Satorre","06.07.16 – 28.08.16","06.07.16 – 28.08.16","Blueproject Foundation","null","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/jorge-satorre/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/ESPRONCEDA.jpg","Espronceda Center for Art and Culture","","","Christophe Constantin","30.06.16 – 09.07.16","30.06.16 – 09.07.16","Espronceda Center for Art and Culture","Spending time in Barcelona","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/spending-time-in-barcelona/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/vista-expo-Alex-college-des-Bernardins-Paris-2015.jpg","Joan Prats Warehouse","","","Pauline Bastard","28.05.16 – 15.07.16","28.05.16 – 15.07.16","Joan Prats Warehouse","Alex","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/alex/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_1344.jpg","etHALL","","http://www.artbarcelona.es/artnou/en/expositions/agon/","Antoni Hervás","","25.06.16 – 30.07.16","etHALL","Agón","Agon is a challenge to the drawing, a conversation between spaces announces action. In ancient Greek is that moment something will happen from life to death. I displayed in his first state of the research on the ability of drawing transformista which part ""The mystery of Caviria"" project that is being carried out under BcnProducció '16.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/agon/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/vista-expo-Alex-college-des-Bernardins-Paris-2015.jpg","Joan Prats Warehouse","","http://www.artbarcelona.es/artnou/en/expositions/alex/","Pauline Bastard","","28.05.16 – 15.07.16","Joan Prats Warehouse","Alex","Alex is a fictional character created by the artiste Pauline Bastard. With the help of an anthropologist, a lawyer, psychoanalyst, stylist, decorator and writer, Alex has been imagined and followed for more than a year in the process of integration in real life, faced with the construction of its social, administrative and emotional existence.

The exhibition design allows visitors to slip inside the character's life: benches and cushions with printed objects, standard furniture and personal effects of Alex, the display evokes a domestic interior and allows to discover 6 videos of Alex's life, from its genesis to its ""first steps"".

A casting to choose the right Alex, the meetings of professionals, the moments of the construction of a character without a past...

With this Project, Pauline Bastard raises a number of questions.

How to manipulate the creative form? How to manipulate the natural and the supernatural without falling into chaos?

Alex talks about the construction of identity, of our society. Who is Alex?","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/alex/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/01pfluegerstr.jpg","Galeria H2O","","","Berta Cusó","30.06.16 – 29.07.16","30.06.16 – 29.07.16","Galeria H2O","Zu Verschenken","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/zu-verschenken/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/ESPRONCEDA.jpg","Espronceda Center for Art and Culture","","http://www.artbarcelona.es/artnou/en/expositions/spending-time-in-barcelona/","Christophe Constantin","","30.06.16 – 09.07.16","Espronceda Center for Art and Culture","Spending time in Barcelona","“Spending Time in Barcelona” es un trabajo multidisciplinario que cuestiona principalmente la noción del

tiempo. La ciudad de Barcelona en este trabajo no se considera como el hormigón y el espacio real, sino

como una película fotosensible en la que están todos marcados por las pistas, medida con la noción de

tiempo y no con las distancias. El principal trabajo será un resumen mapa de la ciudad que va a ocupar la

pared, en la azotea y el piso sobre el que se dibujan con alambres de diferentes viajes del protagonista, la

adición de acuarelas y las instantáneas y otros artículos importantes durante el viaje. Durante su estancia, el

artista siempre se da cuenta esta noción de imagen de la ciudad, obras trans-disciplinaria, siempre basadas en

la noción de tiempo, colocan la idea de la imagen o el consumo","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/spending-time-in-barcelona/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/ngelsBCN-drawing-1.jpg","àngels barcelona – espai 2","","","Ánder Pérez, Pol Ricart, Diogo da Cruz, Jaume Clotet, Lua Coderch","11.06.16 – 07.06.16","11.06.16 – 07.06.16","àngels barcelona – espai 2","Enésima Intempestiva","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/enesima-intempestiva/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_9059.jpeg","NoguerasBlanchard","","http://www.artbarcelona.es/artnou/en/expositions/cualquier-objeto-excepto-un-papel1/","Enric Farrés Duran","","30.06.16 – 02.10.16","NoguerasBlanchard","Cualquier objeto excepto un papel","Cualquier objeto excepto un papel is a compilation of objects displayed within the exhibition space.
In this case, the objects are the following:
1 picture

1 sculpture

1 table 4 stools

5 publications

1 paperweight

1 thing","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/cualquier-objeto-excepto-un-papel1/"
