event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galería,event_maplink__1,event_id
"http://www.artbarcelona.es/wp-content/uploads/2015/05/baja_Video-Fields-2002-Still_02-150x150.jpg","àngels barcelona","","","Michael Snow","26.05.15 – 31.07.15","26.05.15 – 31.07.15","àngels barcelona","Video Fields","","null","null","null","http://www.artbarcelona.es/es/exposiciones/video-fields-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/5.-cinco.jpg","Galería Alejandro Sales","","","Iñaki Ormaechea","07.05.15 – 05.06.15","07.05.15 – 05.06.15","Galería Alejandro Sales","Estructuras reflectantes","","null","null","null","http://www.artbarcelona.es/es/exposiciones/estructuras-reflectantes/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/solid-surface1.jpg","Galería Joan Prats","","http://www.artbarcelona.es/es/exposiciones/solid-surface-2/","Annika Kahrs","","28.05.15 – 24.07.15","Galería Joan Prats","solid surface","solid surface, la primera exposición de Annika Kahrs en Barcelona, reúne sus videos más recientes.
Annika Kahrs trabaja principalmente con video, performance y fotografía. Se interesa por las construcciones sociales y científicas, y por las relaciones orgánicas evolucionadas como las que se establecen entre humanos y animales. En su obra, Annika Kahrs examina representación e interpretación. Sus películas oscilan entre puestas en escena obvias y la observación estilo documental; una característica distintiva de sus películas es que la artista nunca se esconde en el film, incluso si su presencia sólo se revela en una breve mirada de un actor o actriz hacia la directora. Esto muestra un acercamiento particular al entorno que parece casi guiado por un proceso matemático.
Annika Kahrs presenta solid surface, with hills, valleys, craters and other topographic features, primarily made of ice, su último video sobre Plutón. La acción de esta película se sitúa en un planetario donde se proyecta un cielo estrellado en el centro del cual aparece una luz circular que identificamos con la luna, tras mirarlo detenidamente, este cuerpo celestial resulta ser un foco que muestra la ilusión de nocturnidad al revelar el blanco de la pantalla. En esta obra, la artista recurre a imagen y narración para hacer un retrato de Plutón, cuya visión pronto cambiará pues una misión de la NASA va a llegar a su órbita y podrá, por primera vez, fotografiarlo de cerca. Hasta el momento, las ilustraciones científicas del planeta se basaban en la especulación; este cambio de la imagen imaginaria al retrato real es lo que convierte a Plutón en el protagonista ideal de la obra de Annika Kahrs.
La relación entre ficción y realidad también juega un papel importante en el video Sunset-Sunrise. En esta película, el espectador cree estar observando una puesta de sol, al ver el astro rojo brillando en el horizonte. Gradualmente la imagen se aclara, un velo reluciente se desplaza a través de la imagen desde abajo, hasta que la proyección se vuelve blanca. El enigma se soluciona cuando la cámara se aleja y nos permite descubrir que estamos en un aula. Por lo tanto, no hemos sido testigos de un extraño fenómeno natural, sino que se trataba de una proyección de un atardecer que se disuelve lentamente en la luz real al abrir las persianas de la sala.
En études cliniques ou artistiques, Annika Kahrs filma una mujer que adopta diversas posturas que parecen ser ejercicios gimnásticos o de yoga. Sin embargo, es la artista la que da instrucciones a la performer, siguiendo el modelo de fotografías del hospital psiquiátrico parisino de La Salpêtrière que muestran las posturas de “grandes ataques de histeria”, término creado por Charcot. En esta película Annika Kahrs deconstruye la mirada masculina a la vez que desenmascara la fotografía como medio de manipulación más que como documentación.
Annika Kahrs (Achim, Alemania, 1984) vive y trabaja en Hamburgo. Ha recibido diversos premios y becas, entre los cuales destaca el premio George-Maciunas-Förderpreis en 2012, donación de René Block. En 2011 ganó el primer premio de la 20 Bundeskunstwettbewerb del Ministerio de Educación e Investigación de Alemania. Annika Kahrs ha participado en exposiciones celebradas en museos y centros de arte internacionales como Hamburger Bahnhof – Museum für Gegenwart, Berlín (2015), Kunsthalle Bremerhaven (2015), exposición On the Road, en Santiago de Compostela (2014), la Bienal de Curitiba, Brasil (2013), Hamburger Kunsthalle (2013), KW Institute for Contemporary Art, Berlín (2012), Kunst- und Ausstellungshalle der Bundesrepublik Deutschland, Bonn (2011), Goldsmiths University, Londres (2011), y el festival Velada de Santa Lucia en Maracaibo, Venezuela (2010). Participará en la 5ª Tessaloniki Biennale of Contemporary Art el próximo mes de junio.
Durante la inauguración contaremos con la presencia de la artista.

Para facilitaros más imágenes e información, contactar con galeria@galeriajoanprats.com","null","null","null","http://www.artbarcelona.es/es/exposiciones/solid-surface-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Roger-Ballen-Squeezed.jpg","Galería Senda","","","Roger Ballen","26.05.15 – 28.06.15","26.05.15 – 28.06.15","Galería Senda","Roger Ballen, Outland Previously Unseen","","null","null","null","http://www.artbarcelona.es/es/exposiciones/roger-ballen-outland-previously-unseen-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/abelinosala1.jpg","ADN Galería","","","Avelino Sala","23.05.15 – 26.07.15","23.05.15 – 26.07.15","ADN Galería","Walk to the end of the world","","null","null","null","http://www.artbarcelona.es/es/exposiciones/walk-to-the-end-of-the-world-5/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/PALMADOTZE.-Imatge.-targeto.Paisatges-lestigma-dall---social.IMG_2221.jpg","PALMADOTZE","","http://www.artbarcelona.es/es/exposiciones/paisajes-el-estigma-de-lo-social/","Guillem Bayo, Alfonso Borragán, Alicia Kopf, Andrea Mármol, Mateo Maté, Mariona Moncunill, Xavi Muñoz, Patricio Palomeque, Joaquín Segura","","11.04.15 – 31.07.15","PALMADOTZE","Paisajes. El estigma de lo social","El paisaje siempre ha estado allí y aquí. Acompañándonos en todo lo que sucede. Adquiriendo también morfologías concretas y creando, a la vez, un nuevo paisaje que susurra a aquél originario que lo ha visto nacer. El rumor se hace presente también por ausencia y distancia.
Son estos paisajes los que encontramos reunidos en esta muestra. Pasajes naturales que se pierden en la memoria, paisajes culturales, urbanos, domésticos, fantasmagóricos e incluso, sonoros. A través de diferentes formatos (audiovisuales, electrónicos, plásticos, literarios, etc.) nos vienen al encuentro paisajes de un tiempo contemporáneo y que vienen a secuestrar un fragmento de tiempo y, de alguna manera, rememoran el vacío de lo que se desvanece.","null","null","null","http://www.artbarcelona.es/es/exposiciones/paisajes-el-estigma-de-lo-social/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/2.Adrian-Balseca-Fundiciones.jpg","Galería Senda","","","Adrián Balseca","26.05.15 – 02.07.15","26.05.15 – 02.07.15","Galería Senda","Caja de cambios I","","null","null","null","http://www.artbarcelona.es/es/exposiciones/caja-de-cambios-i-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Milla-master.jpg","Galería N2","","http://www.artbarcelona.es/es/exposiciones/deep-surfaces/","Jorge Rodríguez-Gerada","","07.05.15 – 05.06.15","Galería N2","Deep Surfaces","La evolución creativa de Jorge Rodríguez-Gerada no ha dejado de crecer siendo reconocida mundialmente como una de las más coherentes del panorama internacional. Se mueve entre los artistas que empezaron con el street art y que nos cuentan que diablos pasa en este mundo.
La importancia de su obra es más que evidente y fácilmente comprobable a través de redes sociales, su posicionamiento en Google y su amplísima bibliografía. Siendo reconocido por algunas de las instituciones más importantes, como el MoMA de Nueva York, como líder de un movimiento artístico.
En esta, su tercera exposición en individual en Barcelona, Jorge nos presenta el color con la misma naturalidad que caracteriza su obra, sin sobresaltos ni sorpresas... era lógico que llegara.","null","null","null","http://www.artbarcelona.es/es/exposiciones/deep-surfaces/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/GAL--LA-URIOL-JAN--.-Fallen-II-Caure-II-Oel-auf-Leinwand-Oli-sobre-tela-200-cm.-x-300-cm.-2015.jpg","Galería Sicart","","","Irma Álvarez-Laviada, Eduard Arbós, Lola Berenguer, Tom Carr, Ana H. Del Amo, Gonzalo Elvira, Regina Giménez, Ruth Morán, Fèlix Plantalech, Manuel Rey Fueyo, Gal·la Uriol Jané, Simón Zabell.","18.04.15 – 13.06.15","18.04.15 – 13.06.15","Galería Sicart","Tiempos y formas de abstracción","","null","null","null","http://www.artbarcelona.es/es/exposiciones/tiempos-y-formas-de-abstraccion/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/solid-surface1.jpg","Galería Joan Prats","","","Annika Kahrs","28.05.15 – 24.07.15","28.05.15 – 24.07.15","Galería Joan Prats","solid surface","","null","null","null","http://www.artbarcelona.es/es/exposiciones/solid-surface-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Teatro-puro-teatro-Actors-12.jpg","Galería H2O","","http://www.artbarcelona.es/es/exposiciones/teatro-puro-teatro-salon-rojo-cuba-1991-actors-barcelona-1992/","Gloria Giménez","","07.05.15 – 05.06.15","Galería H2O","“Teatro, puro teatro” Salón Rojo, Cuba (1991) + Actor’s, Barcelona (1992)","“Reportaje fotográfico que contiene dos portafolios realizados por la fotógrafa Gloria Giménez durante los años 1991 y 1992. Dos años siguiendo el proceso introspectivo del actor-artista en su interiorización del personaje que convertirá en la expresión artística comunicativa con el “otro” el espectador. Imágenes que el blanco y negro analógico, con luz natural o de la propia escenografía dan rotundidad poética a los actores.
Actor’s ensayos y puesta en escena, Barcelona 1992. La verdad y la mentira en los personajes, estudiado simulacro ó la verdad bien ensayada en sí misma. La proyección de lo homosexual, de lo gay, de la transexualidad como un espacio donde interpretar ambiguos símbolos del drama, puro teatro.
Salón Rojo, cabaret de la Habana de 1991, donde los sueños y las esperanzas de los camerinos de candilejas, llenos de plumas y lentejuelas de precaria elegancia, mallas desgarradas que proyectan la huida hacia un escenario de sueños de libertades, de mares abiertos. Artistas, algunos envejeciendo en el escenario, esperando el salvoconducto hacia los soñados encerados.
Teatro, puro teatro de la vida y del escenario humano en los que Gloria Giménez se introduce como en el mejor de los elementos embelleciendo la decadencia, acostumbrada a penetrar en lo profundo del inconsciente, del blanco y el negro de lo humano y a poner en el objetivo lo que es esencial.”
Gloria Giménez","null","null","null","http://www.artbarcelona.es/es/exposiciones/teatro-puro-teatro-salon-rojo-cuba-1991-actors-barcelona-1992/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/George-Rickey-Harlequin-1958-acero-inoxidable-y-policrom--a-1981-x-63.5-x-63.5-cm.jpg","Galería Marlborough","","","George Rickey","14.05.15 – 27.06.15","14.05.15 – 27.06.15","Galería Marlborough","Esculturas","","null","null","null","http://www.artbarcelona.es/es/exposiciones/esculturas/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/abelinosala1.jpg","ADN Galería","","http://www.artbarcelona.es/es/exposiciones/walk-to-the-end-of-the-world-5/","Avelino Sala","","23.05.15 – 26.07.15","ADN Galería","Walk to the end of the world","Las propuestas estéticas planteadas por Avelino Sala tienen una fuerte carga ética, articulando un discurso personal, coherente, y al mismo tiempo complejo en cuanto a sus lecturas y sus miradas. Su trabajo le ha llevado a cuestionar la realidad cultural, política y social con una mirada crítica y poco cómoda en un continuo explorar el imaginario social para comprobar el poder del arte como generador de espacios de experimentación capaces de recrear nuevos mundos. El trabajo de Sala se enmarca en una serie de formas de visibilidad de las prácticas artísticas que tienen como objetivo interpelar al presente, desenterrar al pasado y apuntalar al futuro","null","null","null","http://www.artbarcelona.es/es/exposiciones/walk-to-the-end-of-the-world-5/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/5.-cinco.jpg","Galería Alejandro Sales","","http://www.artbarcelona.es/es/exposiciones/estructuras-reflectantes/","Iñaki Ormaechea","","07.05.15 – 05.06.15","Galería Alejandro Sales","Estructuras reflectantes","Estas esculturas surgen de dibujos de formas geométricas, trasladados a aluminio, metal que ha sido trabajado hasta ser convertido en un soporte tan delicado como una piel de luz, que acoge y refleja profundidades, espacios, luz y color.
Son obras que parten de planos plegados de metal enfrentados de diversas formas hasta crear volúmenes abiertos y perspectivas visuales gracias a las líneas, el color y la luz.
Estas piezas son el resultado de las relaciones entre el volumen y la estructura de sencillas composiciones cuyas formas, espacios, volumen y luminosidad son sublimados por la materialidad del aluminio","null","null","null","http://www.artbarcelona.es/es/exposiciones/estructuras-reflectantes/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Adrian-Melis1.jpg","ADN Galería","","http://www.artbarcelona.es/es/exposiciones/linea-de-produccion-por-excedente/","Adrián Melis","","23.05.15 – 06.07.15","ADN Galería","Línea de Producción Por Excedente","Línea de Producción Por Excedente (2014), explora los movimientos de la política laboral en el marco del neoliberalismo, en el que los empleados y los demandantes de empleo se ven forzados a una dura competencia entre sí, enajenándolos de sus sentimientos personales. Melis inició una empresa privada en Amsterdam, donde actualmente reside, con el fin de publicar (en Internet y a través de otros medios de comunicación) una oferta de trabajo temporal dirigida a nativos españoles que solicitaban el puesto mediante el envío de sus currícula. La persona elegida iba a trabajar durante dos horas al día cinco días a la semana (entre el 6 de agosto y el 6 de septiembre de 2014), con el objetivo de imprimir y destruir en una máquina trituradora todos los CV que el artista había recibido, fruto de su oferta de empleo (unos 2.700 aproximadamente). El resultado final de todos los CV triturados se presentaría en el espacio expositivo. Con esta acción, Melis inició un proceso de producción basado en la destrucción, que movilizó las expectativas de los desempleados que habían solicitado para este trabajo (y a los que nunca conoció), transformándolas en materia prima para triturar. Siguiendo un comentario irónico sobre el concepto de destrucción creativa del economista liberal Joseph Schumpeter (el capitalismo genera nueva riqueza mediante la destrucción de las estructuras económicas y sociales existentes), la labor y el trabajo son revelados para aniquilar empresas bajo su actual apariencia neoliberal. Además, en Línea de Producción Por Excedente, Adrian Melis señala las diferencias radicales que existen entre los sistemas de trabajo en su país natal, Cuba, y el contexto europeo, que muestran cómo los trabajadores y empleados involucrados en trabajos descualificados y mal pagados, se ven obligados a reprimir cada vez más sus propias emociones en lugar de permitirles de ser incluidos en sus procesos de trabajo diario.","null","null","null","http://www.artbarcelona.es/es/exposiciones/linea-de-produccion-por-excedente/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/La-Pedrera-S--rie-Gaud---Negatius-1979-Positivats-1985.jpg","Galería Eude","","http://www.artbarcelona.es/es/exposiciones/fotografias-anos-80/","Manel Esclusa","","28.05.15 – 19.09.15","Galería Eude","Fotografías, años 80","Las fotografías de Manel Esclusa, son una reflexión sobre la interioridad del Yo y el mundo, lo interno y lo exterior, el microcosmos y el macrocosmos.","null","null","null","http://www.artbarcelona.es/es/exposiciones/fotografias-anos-80/"
"http://www.artbarcelona.es/wp-content/uploads/2015/04/art-barcelona_galeria-estrany-de-la-mota_douglas-gordon_philosophy-of-me_a-to-b-II.jpg","Galería Estrany de la Mota","","http://www.artbarcelona.es/es/exposiciones/las-formas-de-lo-cotidiano/","Douglas Gordon, Jonathan Monk, José Antonio Hernández-Díez, Juan Pérez Agirregoikoa, Francesc Ruiz, ....","","17.04.15 – 30.06.15","Galería Estrany de la Mota","Las formas de lo cotidiano","La exposición privilegia la cotidianidad como punto de encuentro entre vida colectiva y vida individual, una cotidianidad entendida como escena de reencuentros entre la tradición, adaptación, o simple reposición y la innovación y el cambio más o menos brusco o visible. Así, las subculturas juveniles y la música como generadora de perfiles identitarios, los deportes, las modas, y todos aquellos fenómenos que aglutinan a un grupo determinado bajo unos códigos compartidos, participando de un lenguaje común cuyo material no son únicamente las palabras sino las acciones, y además de la producción de sentido asistamos a la producción de espacios de interacción.","null","null","null","http://www.artbarcelona.es/es/exposiciones/las-formas-de-lo-cotidiano/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Adrian-Melis1.jpg","ADN Galería","","","Adrián Melis","23.05.15 – 06.07.15","23.05.15 – 06.07.15","ADN Galería","Línea de Producción Por Excedente","","null","null","null","http://www.artbarcelona.es/es/exposiciones/linea-de-produccion-por-excedente/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/baja_Video-Fields-2002-Still_02-150x150.jpg","àngels barcelona","","http://www.artbarcelona.es/es/exposiciones/video-fields-2/","Michael Snow","","26.05.15 – 31.07.15","àngels barcelona","Video Fields","ángeles barcelona presenta Video Fields, la segunda exposición individual en la galería de Michael Snow (Toronto, CA, 1928), artista multidisciplinar, y una de la figuras más prominentes del cine experimental quién, con su obra Wavelength (1967), fomentó el cine estructural de finales de los años sesenta.
""Para mí, tan solo el hecho de hacer una fotografía no es suficiente. En cuanto a mi trabajo fotográfico, fílmico, holográfico o videográfico podríamos decir que no he ido tanto ""encontrando"" las temáticas a tratar sino que las he 'elaborado' o 'alterado'.
La idea última de Video Fields la tuve en mayo de 1995 cuando tuve la intuición de hacer una proyección, una fuerza que pudiera alterar la forma de aquello que se encontraba ante la cámara (o quizás podría ser la propia grabación la que ejerciera esta misma fuerza) - una fuerza que dimensionara las tres dimensiones).
Y el viento surgió como la manera invisible de conseguirlo.
A pesar de todo, en lugar de hacer una película, primero decidí continuar con la idea inicial de fabricar un caja de luz fotográfica, el que, después de algunas consideraciones, se convirtió en la obra titulada Flash! 20.49, 2001.06.15, una fotografía con dimensiones de 122 x 183 cm. En este trabajo, la fuerza invisible que altera la escena representada (la cual fue previamente compuesta) se equipara a la cruda fuerza de la luz del flash en fotografía, la cual afecta y 'para' la imagen.
Cada una de las imágenes que componen un vídeo se divide en dos ""campos"" (fields) diferentes entrelazados. El primer campo (Field #1) contiene la información de las líneas nones de la imagen en un monitor o una proyección y, posteriormente, 1/60 de segundo más tarde, siendo imperceptible al ojo humano, el segundo campo (Field #2) hace lo mismo con la información que tiene de las líneas parejos y así sucesivamente con todas las imágenes que componen el vídeo.
Esto, a diferencia del fotograma cinematográfico, es literalmente un campo de energía.
Video Fields es la literalización del formato entrelazado de los campos de vídeo, y aunque no sea una imagen en tres dimensiones, se trata de una imagen binocular, es decir, un paisaje que se percibe con los dos ojos.
La palabra ""campo"" (field) ha sido utilizada como término en la historia del arte para describir algunas de las obras de, por ejemplo, Barnett Newman o Jackson Pollock. De hecho, artistas abstractos como Olitski, Noland o Bush, entre otros, son descritos como pintores de ""campos de color"" (color fields).
Los campos representados en Video Fields son campos de plantas, de hierba y flores que acontecen campos llenos de energía electrónica, los mismos elementos que fluctúan constantemente.
El sonido que sentimos simultáneamente a las imágenes proyectadas, representa el efecto de fuertes vientos pero que, durante diferentes momentos en los que se desarrolla la instalación, también se percibe como un viento completamente artificial y sintetizado.""
Michael Snow, 2015","null","null","null","http://www.artbarcelona.es/es/exposiciones/video-fields-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Milla-master.jpg","Galería N2","","","Jorge Rodríguez-Gerada","07.05.15 – 05.06.15","07.05.15 – 05.06.15","Galería N2","Deep Surfaces","","null","null","null","http://www.artbarcelona.es/es/exposiciones/deep-surfaces/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/GAL--LA-URIOL-JAN--.-Fallen-II-Caure-II-Oel-auf-Leinwand-Oli-sobre-tela-200-cm.-x-300-cm.-2015.jpg","Galería Sicart","","http://www.artbarcelona.es/es/exposiciones/tiempos-y-formas-de-abstraccion/","Irma Álvarez-Laviada, Eduard Arbós, Lola Berenguer, Tom Carr, Ana H. Del Amo, Gonzalo Elvira, Regina Giménez, Ruth Morán, Fèlix Plantalech, Manuel Rey Fueyo, Gal·la Uriol Jané, Simón Zabell.","","18.04.15 – 13.06.15","Galería Sicart","Tiempos y formas de abstracción","La exposición Tiempos y formas de abstracción muestra la obra de 12 artistas en activo, nacidos entre las décadas de los 50-70, para poner de manifiesto sus diferentes maneras de acercarse a la abstracción desde realidades tan diversas como las generacionales y las geográficas así como a través del uso de los materiales y la reflexión de los contenidos.
Realizadas la mayoría a partir de la pintura, algunas de las obras no son ajenas a romper la bidimensionalidad de la tela o el papel para expresarse más allá de estos límites. El uso de técnicas y referentes tan diversos como la arquitectura (Eduard Arbós), la escultura (Tom Carr), el material reciclado (Ana H. Del Amo), la luz y la sombra, la perforación y la marca (Ruth Morán), la caligrafía y los signos (Félix Plantalech), la construcción-deconstrucción (Gonzalo Elvira, Regina Giménez), el lleno y el vacío, el plegado (Irma Álvarez-Laviada), o los aspectos más formales de la pintura (Lola Berenguer, Manuel Rey-Fueyo, Simón Zabell) son buenas muestras.
La implicación con el paisaje (Ruth Morán, Félix Plantalech) o la añoranza de su ausencia (Gal·la Uriol Jané) o las citas a otras obras o autores (Gonzalo Elvira, Simón Zabell) son también elementos definitorios que hay que tener en cuenta.","null","null","null","http://www.artbarcelona.es/es/exposiciones/tiempos-y-formas-de-abstraccion/"
