web-scraper-order,web-scraper-start-url,event_id,event_id-href,event_link,event_link-href,event_image-src,event_title1,event_title2,event_start,event_end,event_text,event_venue,event_organizer__Art Barcelona,event_cost__0,event_maplink__1,event_category__Arte contemporáneo__Exposición__Galerías__Los recomendados__galleryweekend
"1534845725-20","http://www.barcelonagalleryweekend.com/es/","Galeria Carles Taché","http://www.barcelonagalleryweekend.com/es/espacio/galeria-carles-tache-3/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/mapa-del-moho/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/05/PROGRAMA.-Javier-Arce-Contrato-natural-1-2017.-Frottage-sobre-paper-d---arr--s-pl--stic-d---ensitjar.-320-x-200-x-20-cmWEB1.jpg","Javier Arce","Mapa del moho","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Comisariado: David Armengol
Mapa de moho es la primera exposición individual de Javier Arce (Santander, 1973) en la galería Carles Taché. Desde registros de presentación como el dibujo, el objeto o la instalación, Arce explora la condición telúrica que conecta su práctica artística con una determinada pertenencia ultralocal: las montañas pasiegas de su Cantabria natal y, en concreto, la casa que el artista se ha ido construyendo a lo largo de los años en plena naturaleza.
Tomando como punto de partida un poema de Elisabeth Bishop titulado Canción para la estación de las lluvias, el artista establece aquí un símil conceptual entre la casa que la arquitecta brasileña Lota de Macedo (pareja de Bishop) construyó en la selva brasileña en los años 50 del siglo XX y la casa de Javier Arce en los montes cántabros. En definitiva, dos ejemplos de aislamiento social que entienden el hábitat natural – la selva el primero, el bosque el segundo - como una suerte de correspondencia emocional capaz de intensificar la experiencia.
 
- David Armengol","Galeria Carles Taché","null","null","null","null"
"1534845667-9","http://www.barcelonagalleryweekend.com/es/","Nogueras Blanchard","http://www.barcelonagalleryweekend.com/es/espacio/gal-nogueras-blanchard-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/francesco-arena/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/web-Francesco-Arena-Arms-with-perimeter-Gramscis-cell-and-Arms-with-perimeter-Thoreaus-cabin-Cortesia-de-lartista.jpg","Francesco Arena","Angolo Stanco","26.09.18 - 30.09.18","26.09.18 - 30.09.18","NoguerasBlanchard presentará en su espacio de L'Hospitalet de Llobregat la exposición Angolo Stanco, del artista italiano Francesco Arena. La muestra recoge una serie de obras que profundizan la  investigación que el artista viene realizando en torno a la percepción espacial, en este caso, asociadas a estancias carcelarias o de reclusión de grandes personajes de la cultura contemporánea como Nietzsche, Thoreau, o Holderlin. Esta selección de figuras y sus respectivos espacios de reclusión están directamente vinculadas a la formulación de alguna de sus obras más importantes, como es el caso de Thoreau y su ensayo Walden, de 1854, o los escritos tardíos de Friedrich Nietzsche en Turín.
Por otro lado, el próximo 26 de septiembre se cumplirán 78 años de la muerte de Walter Benjamin en Portbou. En una obra concebida para esta exposición que toma forma de ángulo, un performer de 78 años estará presente durante la muestra. Tomando como punto de partida la fugacidad del tiempo y de la vida, cada año que pase se buscará un actor un año mayor, hasta que finalmente será imposible realizar esta obra.","Nogueras Blanchard","null","null","null","null"
"1534845694-14","http://www.barcelonagalleryweekend.com/es/","Galeria Senda","http://www.barcelonagalleryweekend.com/es/espacio/senda-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/yago-hortal/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Galeria-Senda-Vista-de-l--exposicio-H-H.-Halley-meets-Hortal-Yago-Hortal-i-Peter-Halley.-Barcelona-2016..jpg","Yago Hortal","Yago Hortal","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Yago Hortal (Barcelona, 1983) presenta una selección de obras abstractas que investigan acerca de la ponderación entre azar y control, entre la intención del artista y las reacciones de la pintura. A través de una paleta visual intensa, el artista aplica gruesas pinceladas generadas a través de ritmos de aceleración y pausa que fluyen en la composición a modo de explosión de color. Este compás impuesto por el artista salpica la composición con goteos que dan testimonio de la técnica utilizada y permiten al espectador indagar sobre el proceso creativo. Asimismo, sus formas azarosas conducen el recorrido de la mirada por todo el lienzo y aportan sensación de movimiento a la representación. En ella, bloques de colores saturados y a menudo fluorescentes oscilan en equilibrio y apelan directamente a los sentidos del observador al sumergirle en un universo pictórico de gestos dinámicos y sensuales.
La expansión de la pintura más allá de los límites del lienzo y la exacta transmisión de los gestos a la tela devienen atributos de una ejecución pulcra y ensayada, de una expresión de un trabajo reconocible amparado en un dominio de los recursos pictóricos.","Galeria Senda","null","null","null","null"
"1534845700-15","http://www.barcelonagalleryweekend.com/es/","Galeria Marc Domènech","http://www.barcelonagalleryweekend.com/es/espacio/galeria-marc-domenech-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/the-solo-recording-sessions/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Vicen---Viaplana-Solo-Recordings-Sessions-2.-4.jpg","Vicenç Viaplana","The Solo Recording Sessions","26.09.18 - 30.09.18","26.09.18 - 30.09.18","The Solo Recording Sessions es el resultado de un work in progress iniciado en 2016 y que continúa creciendo bajo un intenso proceso de creación que el Vincens Viaplana tiene previsto cerrar con un total de cerca de 200 obras sobre papel. La Galería Marc Domènech presenta en exclusiva la primera fase de este proyecto acompañado de la publicación de un catálogo-libro que incluye un ensayo del reconocido crítico Octavio Zaya.
El conjunto de obras que forman parte de The Solo Recording Sessions parten de 4 series de imágenes serigrafiadas sobre papel de gran formato. Se trata de imágenes fragmentadas, manipuladas manual y digitalmente y posteriormente editadas, las cuales pasan a convertirse en la base principal para el desarrollo y creación de este proyecto transversal y abierto. De todo este proceso de trabajo nace una obra que transita por la fotografía, la pintura, el dibujo y el formato cinematográfico creando una elaborada narrativa visual.","Galeria Marc Domènech","null","null","null","null"
"1534845751-25","http://www.barcelonagalleryweekend.com/es/","Arte Aurora","http://www.barcelonagalleryweekend.com/es/espacio/arte-aurora/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/hotel-nada-revisited/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/06/Yamand---Canosa-H-126-1991.-Acr--lico-sobre-tela.-98x175cm.jpg","Yamandu Canosa","Hotel Nada revisited","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Yamandú Canosa comienza a trabajar en Hotel Nada entre 1991 y 1993, proyecto que desarrolló en diferentes exposiciones en la Galería Benet Costa, la Galería Ciento de Barcelona, el Centre de Lectura de Reus y la Galería Rian Van Rijsbergen de Rotterdam. La totalidad del proyecto se expuso en CASM de Barcelona y en los centros de arte La Regenta y La Granja de las Islas Canarias. Hotel Nada es el antecedente de las operaciones en el “paisaje del lenguaje” que fueron el centro de la exposición retrospectiva El árbol de los frutos diferentes de 2011 en la Fundació Suñol de Barcelona.
Yamandú Canosa repasa ese período en una entrevista reciente*:
...“La palabra Nada se refería a lo no nombrado, a lo que estaba fuera del paisaje del lenguaje o en su límite. Me imaginaba como un quintacolumnista del lenguaje, boicoteando la posibilidad de sentido.”... “De alguna manera, el programa de Hotel Nada era el reverso formal del proyecto minimalista, pero con la misma utopía de cancelar el sentido. Por supuesto que fracasé en el intento, pero fue una experiencia apasionante, que me dejó el rastro de decenas de obras y la posibilidad de abundar en la apertura de recursos formales y conceptuales.”... ”La génesis del proyecto Hotel Nada me lo sugirió la lectura de Edie, la estupenda biografía de Edie Sedgwick, musa de Andy Warhol. En el libro se describe el ambiente del Chelsea Hotel de New York a mediados de los 60, donde decenas de personajes vivían al borde de la experiencia, en el límite, sobre el que caminaban como torpes equilibristas. Los títulos de las obras del proyecto Hotel Nada eran números de habitaciones.”
*Entrevista a cargo de Christian Alonso para el Departament d'Història de l'Art i Estètica de la Universitat de Barcelona, con motivo de la exposición colectiva Matèria Prima, en el Centre d'art Contemporani de Barcelona (noviembre 2017 / abril 2018).","Arte Aurora","null","null","null","null"
"1534845684-12","http://www.barcelonagalleryweekend.com/es/","L&B contemporary art","http://www.barcelonagalleryweekend.com/es/espacio/lb-contemporary-art/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/pietro-capogrosso/","","Pietro Capogrosso","Pietro Capogrosso","26.09.18 - 30.09.18","26.09.18 - 30.09.18","La galería L&B tiene el placer de presentar la exposición del artista italiano Pietro Capogrosso (Trani, 1967) durante el Barcelona Gallery Weekned 2018.
No podría y no querría ser otra cosa que pintor.

Siento que pertenezco a la pintura que considero una convicción mental y física.

Tengo la sensación de absorber la luz y tener que transmitirla en mi trabajo.

Una aventura, un abandono continuo al placer de pintar y su complicidad.

El espacio del lienzo es un campo de energías virtuales en el que aparecen dinámicas aparentemente contradictorias entre la materia y el flujo de transparencia, entre lo opaco y lo luminoso, entre lo figurativo y lo abstracto generando, a través de un ejercicio de equilibrio, una aparición, un paisaje de afecto que trasciende de lo real y se vuelve abstracto.

Finas líneas fronterizas constituyen el trazo silencioso de lugares observados durante mucho tiempo: imágenes diáfanas e inmateriales, enrarecidas, casi monocromas.

Una historia dentro de la pintura, un examen continuo donde cada patrón de color cubre, pero al mismo tiempo conserva rastros o signos de un pasaje anterior.

Una pintura de umbral que condensa toda la realidad interna y externa, material y mental, todo planteado en la epifanía de la imagen.
Pietro Capogrosso
El artista de Puglia escapa de la noción escolástica y desarrolla, con una especie de proceso anoréxico, una visión ambigua del paisaje, una superficie fílmica que juega entre la aparición y la desaparición.
Achille Bonito Oliva","L&B contemporary art","null","null","null","null"
"1534845710-17","http://www.barcelonagalleryweekend.com/es/","Galeria Estrany – de la Mota","http://www.barcelonagalleryweekend.com/es/espacio/galeria-estrany-de-la-mota-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/ignasi-aballi-i-oriol-vilanova/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Ignasi-Aballi---Oriol-Vilanova-Reversible-2018.jpg","Ignasi Aballí","Ignasi Aballí y Oriol Vilanova","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Ignasi Aballí (Barcelona, España, 1958) propone una reflexión conceptual sobre la representación y la percepción de medios como la pintura, el objeto, la fotografía, la ficción, el cine o el vídeo. Su trabajo inventa y reorganiza textos, imágenes, materiales y procesos, confrontando la presencia y la ausencia, lo material y lo inmaterial, lo visible y lo invisible, la transparencia y la opacidad, la apropiación y la creación. Así relaciona el exceso de imágenes en la sociedad actual con la escasez de significados que podemos atribuirles. Las ideas estéticas del artista, cuestionan el sistema de convenciones de la representación de la obra de arte, a través de un ecléctico muestrario de materiales no convencionales que se convierten en fragmentos de una poética crítica de las condiciones de representación de la vida y del arte en el mundo contemporáneo.
Oriol Vilanova (Manresa, España, 1980) está interesado por los mecanismos políticos de construcción de la historia y la mirada, buena parte de sus obras funcionan como gabinetes de curiosidades. Siguiendo un método de trabajo centrado en la recolección y documentación de imágenes, presenta la obra como un archivo o enciclopedia de documentos visuales al servicio de la deconstrucción del relato unívoco del pasado. Ha abordado temas como el éxito y el triunfo, el museo como espacio expositivo en desuso, los iconos del pasado y la reescritura de la historia. Vilanova ha realizado instalaciones, perfomances y teatro-performances, así como pósters, libros de artista y libros intervenidos. Una meditada ironía sobre la obsolescencia, el anacronismo, la sospecha del fraude y la delirante compulsión que afecta a toda forma de coleccionismo, de la cual él mismo es víctima.","Galeria Estrany – de la Mota","null","null","null","null"
"1534845762-27","http://www.barcelonagalleryweekend.com/es/","Ana Mas Projects","http://www.barcelonagalleryweekend.com/es/espacio/ana-mas-projects-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/un-hecho-de-diferencias/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Quisqueya-Henr--quez-de-la-serie-Formalinformal-Link-of-Three-2018.-Cortesia-de-la-artista.jpg","Alana Iturralde","Un hecho de diferencias","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Comisariado: Carla Acevedo Yates
La cultura de los archipiélagos no es terrestre, como casi todas las culturas; es fluvial y marina. Es una cultura de direcciones, no de rutas; de aproximaciones, no de resultados exactos. Aquí, el mundo de líneas rectas y ángulos (la esquina, el plano inclinado, la encrucijada) no domina; lo que domina es el mundo fluido de las curvas.
-Antonio Benítez-Rojo, La isla que se repite: el Caribe y la perspectiva postmoderna
El Caribe no es un territorio determinado o una región en un mapa con un conjunto de coordenadas geográficas que delinean claramente sus límites. Es un hecho geográfico e histórico... un meta-archipiélago, sin fronteras y desprovisto de un centro, que se compone de diferencias. Los procesos históricos en curso de conquista, colonización y migración que constituyen el Caribe como espacio producen prácticas artísticas que fluyen libremente entre los sentidos, los sistemas de conocimiento y las formas. Un hecho de diferencias reúne obras de cuatro artistas del Caribe cuyas prácticas artísticas se encuentran en este espacio indeterminado: entre lo formal y lo informal, la historia del arte occidental y el conocimiento afro-caribeño e indígena, lo imaginario y lo real. Desatendidos de las categorías y jerarquías entre las manifestaciones culturales -y eludiendo los significados culturales que podrían apuntar a entendimientos estrictamente regionales- las obras de arte en la exposición negocian formas, influencias e historias para articular procesos sincréticos y objetos.","Ana Mas Projects","null","null","null","null"
"1534845639-4","http://www.barcelonagalleryweekend.com/es/","Sala Parés","http://www.barcelonagalleryweekend.com/es/espacio/sala-pares/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/habitar-el-espacio-mas-alla-del-limite/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-4.-Ruth-Moran.-Sin-t--tulo.-Barro-cocido-engobe.-20x9x16-cm.jpg","Ruth Morán","Lenguaje de huellas","26.09.18 - 30.09.18","26.09.18 - 30.09.18","El lenguaje es el la estructura mediante la que establecemos una comunicación. Un diálogo que busca conocimiento. Establecemos un vínculo no solo con algo externo, también con esa parte de uno mismo que puede permanecer inconsciente. Algo cercano a la creación, a esa fuerza primigenia que una vez y otra nos atrapa en su propio quehacer.
Contemplar el trabajo de Ruth Morán es asistir en un doble sentido a este ejercicio. No solo porque como en cualquier práctica artística esté implícita esta naturaleza epistemológica, sino porque en su caso, lo asume como metodología diaria intrínseca a su trabajo. Ruth Morán afronta el material a partir de un diálogo con el espacio, para, desde ahí, ir perforando mediante la línea,  el punto o la hendidura, la superficie que tiene delante. Una y otra vez, sin cese.
En esta ocasión, Morán se abre a un nuevo universo y nos descubre nuevos interrogantes a través de la cerámica.
Asistir a este nuevo proyecto es constatar una reflexión que la acompaña desde hace años. Es ser testimonio del recorrido que ella ha ido elaborando y que ahora nos ofrece. Pasar de un espacio bidimensional a un diálogo directo con la materia, sin olvidar ese diálogo constante que acecha al conocimiento.","Sala Parés","null","null","null","null"
"1534845655-7","http://www.barcelonagalleryweekend.com/es/","Pigment Gallery","http://www.barcelonagalleryweekend.com/es/espacio/pigment-gallery/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/ramon-enrich-i-dominica-sanchez/","","Dominica Sánchez","Formas i Silenci","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Pigment Gallery presenta un proyecto de diálogo entre la obra de dos artistas catalanes: Ramon Enrich y Dominica Sánchez, de distinta generación pero ambos con un largo recorrido. Sus obras austeras y geométricas, tienden a eliminar lo superfluo o decorativo. Estableciendo una relación sensible con la geometría, los espacios de contemplación, la intimidad y los silencios. Todo ello desde una marcada introspección, donde forma, línea, estructura y color crean sus distintos lenguajes en un discurso de contenida emoción.","Pigment Gallery","null","null","null","null"
"1534845645-5","http://www.barcelonagalleryweekend.com/es/","RocioSantaCruz","http://www.barcelonagalleryweekend.com/es/espacio/rociosantacruz-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/9230-2/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/06/Sergio-Vega_Pineapple_Cathedral_2016_Collage-on-digital-print-on-Hahnemuehle-Photo-Rag-bj.jpg","Sergio Vega","Paraísos perdidos de la modernidad","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Durante los últimos diez años Sergio Vega ha estado trabajando en el proyecto de arte interdisciplinario El Paraíso en el Nuevo Mundo, inspirado en el libro homónimo escrito por Antonio de León Pinelo en 1650. Usando la disciplina de la historia natural recién desarrollada, Pinelo intentó demostrar científicamente que

el Jardín del Edén se encontraba en América del Sur. Adoptando su tesis, Vega ha realizado varios viajes de investigación al estado de Mato Grosso, Brasil, manteniendo un diario de viaje que describe sus aventuras. A través de una serie de fotografías, videos, dioramas e instalaciones derivadas de las entradas del diario, Vega explora cómo se construyeron los discursos coloniales en relación con la mitología específica del Paraíso.
Las obras expuestas en RocioSantaCruz durante el Barcelona Gallery Weekend 2018 - fotografías, dibujos, vídeos, instalaciones y textos derivados de las páginas de su diario - son un reflejo centrado en la ambivalencia del modernismo de América del Sur, su dimensión barroca, excesiva y paradisíaca, opuesta a la pureza minimalista del modernismo europeo. Debido a estas características exóticamente extrañas, Vega acuña el concepto de “modernismo tropical”, capturando al mismo tiempo las implicaciones ideológicas estridentes y el poder, como expresión arquitectónica de la clase política dominante. La historia del Génesis y el colonialismo,

el sublime e la ideología se implican y se entrelazan en una fascinante reinterpretación de símbolos y lenguas, que desafían las perspectivas más aprobadas para dar nueva lectura a los controvertidos acontecimientos de la historia de América del Sur. Vega se inspira en el legado de Edward Steichen, Hélio Oiticica y Jacques Derrida: fotografías de espacios domésticos y barrios típicos a las que se superponen composiciones geométricas abstractas colgadas del techo; el uso de colores brillantes como fondo activo para presentar la fotografía como una experiencia escultórica; una serie de collages en los que superpone objetos y fotos a textos e imágenes de libros creando asociaciones inesperadas. La galería se convierte así en una instalación única donde las imágenes, los sonidos, la fotografía, la arquitectura y la naturaleza se integran orgánicamente en un entorno modernista tropical.","RocioSantaCruz","null","null","null","null"
"1534845634-3","http://www.barcelonagalleryweekend.com/es/","Tasneem Gallery","http://www.barcelonagalleryweekend.com/es/espacio/tasneem-gallery/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/triple-lenguaje/","","Ernesto Leal","Triple lenguaje","26.09.18 - 30.09.18","26.09.18 - 30.09.18","La dramaturgia de esta exposición organiza el espacio para describir algunas situaciones del lenguaje. Primero plantea un problema general: la censura del sentido, desarrollado en la serie Estética de la censura. Este trabajo hace referencia al momento en que en una sociedad autoritaria (en este caso Cuba), la censura ya no es vivida como un proceso externo, sino como parte del entramado social e internalizado por los sujetos.
En un segundo momento invita a imaginar la posibilidad de un triple-lenguaje como una escritura imposible de censurar. Leal nos presenta la instalación de dibujos De Doble-Lenguaje a Triple-Lenguaje donde el fenómeno del doble-lenguaje es representado como una palabra que es físicamente escrita por otra.
Por último, propone hacer funcionar este triple-lenguaje poniéndolo en relación con dos nociones: el tiempo y el espacio. Untitled es un video-instalación en donde la palabra controla la realidad temporal y el vínculo entre objeto artístico, espacio expositivo y públicos. 90 Mile Drawing es un dibujo basado en la distancia que separa a Cuba de EEUU, espacio dramático asociado a su recorrido migratorio.","Tasneem Gallery","null","null","null","null"
"1534845772-29","http://www.barcelonagalleryweekend.com/es/","ADN Galeria","http://www.barcelonagalleryweekend.com/es/espacio/adn-galeria-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/desigualdad-de-genero/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Margaret-Harrison-The-fantasy-footballer.jpg","Margaret Harrison","It Hasn’t Changed : And Babies?","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Margaret Harrison cuestiona audazmente las nociones preconcebidas de género a través de la feminización del cuerpo masculino y del análisis de la situación laboral de la mujer mediante estrategias de alteración de los roles de poder tradicionales. Sus obras buscan poner el arte al servicio del movimiento feminista. Procedente de los ‘liberales’ años 60, esta activista británica en seguida se dio cuenta de que lo privado es político y representó esta misma idea en subversiones satíricas de los roles de género asignados por la sociedad y los medios de comunicación.
Harrison ha expuesto individualmente en instituciones como el New Museum en Nueva York, MiMA en Middlesbourgh y Azkuna Centroa en Bilbao. Ha participado en numerosas exposiciones colectivas en instituciones como Tate Modern y Victoria & Albert Museum en Londres, el Museo de Arte Contemporáneo en Los Ángeles y el Museo Chiado en Portugal. Sus obras se encuentran en diferentes colecciones institucionales, como Tate Modern y Tate Britain, Victoria & Albert Museum, Kunthaus en Zurich y la Universidad de California. Ha ganado varios premios como el Northern Art Prize en 2013 o el Intersection for the Arts 'Artist in Residence Award de San Francisco en 2010.","ADN Galeria","null","null","null","null"
"1534845736-22","http://www.barcelonagalleryweekend.com/es/","Die Ecke arte contemporáneo","http://www.barcelonagalleryweekend.com/es/espacio/die-ecke-arte-contemporaneo/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/varados/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Enrique-Ram--rez-Captura-v--deo-Les---chou--s-web.jpg","Enrique Ramírez","Varados","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Varados consta de una serie de obras inspiradas en el Mar Mediterráneo.
El Mar Mediterráneo que es un mar donde los mundos se juntan, también mueren, ese mar que cuenta la historia tiene ciudades en sus fondos marinos hoy tiene millares de inmigrantes perdidos bajo el fondo de mar ... además de ser considerado el mar más contaminado del planeta.
Varados es una palabra para representar el hecho de tocar fondo, de quedar en un lugar que muchas veces no elegimos, varados puede también representar el cuerpo, el alma, pero también el mar como un corazón que fluye y que late por vivir, atascado entre nosotros.
La exposición es una representación de la relación que existe entre el mar y nuestro cuerpo interior, como hoy en día una botella lanzada a la mar es también la representación de una pregunta , en que dirección vamos en el mundo?","Die Ecke arte contemporáneo","null","null","null","null"
"1534845650-6","http://www.barcelonagalleryweekend.com/es/","ProjecteSD","http://www.barcelonagalleryweekend.com/es/espacio/projectesd-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/dora-garcia/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/web-Mad-Marginal-Charts-notes-on-The-Plague-1.jpg","Dora García","La Peste","26.09.18 - 30.09.18","26.09.18 - 30.09.18","En activo desde los años 90, Dora García ha sido reconocida internacionalmente por su obra incisiva y rigurosa basada en una extensa investigación sobre los difusos límites entre lo real y su representación. A través de performances, dibujos, films, textos, libros expandidos o instalaciones, García hace visibles los mecanismos que gobiernan los procesos de comunicación cultural, explorando y cuestionando la naturaleza de la relación entre el artista, su obra y la audiencia. El trabajo de García está lleno de referencias a la literatura, al teatro, al psicoanálisis. En su próxima exposición en ProjecteSD, que titula La Peste, acude de nuevo a la literatura refiriéndose a la novela de Albert Camus para desplegar una nueva serie de obras basadas en el dibujo y la performance.
García (Valladolid, 1965) representó a España en la Bienal de Venecia (2011) y participó en la dOCUMENTA (13) (2012). García ha tenido exposiciones individuales en el CGAC (Santiago de Compostela, 2009), la Galleria Civica di Trento (2010), la Power Plant (Toronto, 2011), la Kunsthaus Bregenz (2013), la Universidad Torcuato di Tella (Buenos Aires, 2014) y el MNCARS (Madrid, 2018).
29/09, 19:00

Performance de Dora García a cargo de Geoffrey Carrey

La exposición de Dora García, La Peste, se acompaña de una nueva performance, presentada por primera vez en ProjecteSD,  realizada por Geoffrey Carrey, colaborador habitual de la artista. Esta iniciativa incide en la importancia de la performance como medio privilegiado para acercarse a los aspectos centrales del trabajo de García.","ProjecteSD","null","null","null","null"
"1534845741-23","http://www.barcelonagalleryweekend.com/es/","Dada Objet Trouvé","http://www.barcelonagalleryweekend.com/es/espacio/dada-objet-trouve/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/aspectos-de-influencia/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Mouth_of_Krishna_105web.jpg","Albarran Cabrera","Aspectos de influencia","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Los recuerdos son el leitmotiv que recorre todo nuestro trabajo fotográfico. Nos ayudan a definir nuestra identidad. Hemos sido influenciados por una enorme cantidad de autores, y algunos de ellos también se exhiben aquí. Algunos otros no son artistas visuales, sino escritores, músicos, matemáticos, filósofos o físicos. A su vez, todos estos autores tenían su propia lista de influencias. Es realmente una cuestión de lo que uno hace con lo que ya existía. No eres tú, sino tus recuerdos e influencias lo que construye tu estilo.
Tener un estilo único en el arte es una especie de obsesión en la sociedad occidental. Pero al mismo tiempo, durante siglos, el arte europeo se ha enseñado siguiendo un enfoque académico: ir a un museo, recrear una obra maestra y aprender algo en el proceso. Para vivir con este dilema, debes entender que siempre estás viajando por territorio trazado por otros antes que tú.
Nuestro enfoque de la fotografía es aprender de tantos maestros en diferentes medios como podamos. Al articular lo que hicieron, podemos tener una comprensión más profunda de sus ideas y crear conexiones únicas entre ellos. Es en este espacio donde surgen ideas originales y un estilo personal.
 ""Olvida el espectáculo y mira el Nôh; olvida el Nôh y mira al actor; olvida al actor y mira la idea; olvida la idea y entenderás el Nôh "".
 - Motokiyo Zeami","Dada Objet Trouvé","null","null","null","null"
"1534845731-21","http://www.barcelonagalleryweekend.com/es/","etHALL","http://www.barcelonagalleryweekend.com/es/espacio/ethall-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/marc-larre/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-Marc-Larr---tacon-prostituta-codo-trabajador-baja.jpg","Marc Larré","1 + 1 = 3","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Colección de esculturas realizadas a partir de colisiones y experiencias que investigan el pliegue entre el valor de cambio y el valor de uso, el espacio simbólico y lo real, fotografía y barro.
Al juntar 1 + 1 no se obtiene un 2 como suma de las dos unidades anteriores, lo que obtenemos es una tercera cosa que nace de la fricción entre ambas.","etHALL","null","null","null","null"
"1534845767-28","http://www.barcelonagalleryweekend.com/es/","Àmbit Galeria d'Art","http://www.barcelonagalleryweekend.com/es/espacio/ambit-galeria-dart/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/inventari/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/1_PROGRAMA_Joan-Cardells-R-1076-2007.-Grafito-sobre-papel.-154x103cm.-Cortesia-Joan-Cardells.jpg","Joan Cardells","Inventario","26.09.18 - 30.09.18","26.09.18 - 30.09.18","La obra de Joan Cardells se caracteriza por la presencia constante, casi obsesiva, de temas que reflejan sus aficiones por el mundo industrial, por el comercio, la ferretería y la sastrería tradicional. En su personal “inventario” figuran olivas, calabazas, chaquetas, pantalones, depósitos de agua, techos de uralita, granadas, bacalao, melones, ollas, gallos, patos, y, recientemente, mazorcas.
Son imágenes arquetípicas que remiten a los antiguos inventarios de ferretería industrial y de tiendas donde a menudo el artista se ha quedado fascinado por el estudio anatómico de los materiales. Con la sobriedad y el equilibrio que caracteriza su obra, Cardells disfruta del placer de expresarse con los elementos básicos del dibujo: papel y grafito “comunes”, llevando a cabo una exploración meticulosa de los objetos, privados de función o simbolismo. En la poética de Cardells no se pueden concebir escultura y dibujo separadamente; tanto que las pequeñas formas semigeometricas del amianto, material originario de sus esculturas, se encuentran reproducidas constantemente, transformándose en la textura artificial de sus objetos.","Àmbit Galeria d’Art","null","null","null","null"
