web-scraper-order,web-scraper-start-url,event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"1526029520-88","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/ella_els_altres01.jpg","Galería H2O","","http://www.artbarcelona.es/es/exposiciones/ella-los-otros/","Elisabet Mabres","","03.05.18 – 01.06.18","Galería H2O","Ella, los otros","Una mujer cubierta con máscara se expone en la densidad del Hong Kong más poblado. Interactúa con quien se atreve a mirarla. Hay quién disimula, quién la intuye, alguien se asusta o la rechaza... La máscara ha envejecido y esto la hace menos artificiosa.
Protegida por el látex facial, la mujer se exhibe. De la calle al interior, del día a la noche. La injerencia de conocer a los “hombres jaula” la perturba hasta el punto de someterse a dominios y cautiverios.
Consigue huir hacia los nuevos verdes territorios del Hong Kong desconocido, hurgando en rastros de vidas abandonadas. Ahora es ella quien escruta con la mirada. Y los objetos encontrados, de la China ancestral, le revelan la necesidad de llevar otras acciones a Shanghái.
Nada concluye, todo continúa…
Elisabet Mabres","null","null","null","http://www.artbarcelona.es/es/exposiciones/ella-los-otros/"
"1526029602-106","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/03/imatge-mariona-MR.jpg","PALMADOTZE","","http://www.artbarcelona.es/es/exposiciones/ailebs/","Mariona Moncunill","","17.03.18 – 30.06.18","PALMADOTZE","AIL/EBS","El sábado 17 de marzo, Mariona Moncunill (Tarragona, 1984) presenta ""AIL / EBS"", exposición individual que documenta un proyecto de investigación y creación realizado por la artista en torno al Patrimonio Natural de Santa Margarida y Els Monjos. Se trata de un ""Site Specific"" realizado de manera expresa para la exposición y que cuenta con la colaboración del Ayuntamiento de este municipio donde se encuentra situada la galería.
En Santa Margarida i els Monjos, como en otros municipios, hay una serie de árboles protegidos y catalogados como Árboles de Interés Local, recogidos en el Plan de Ordenación Urbanística Municipal (POUM). Al mismo tiempo, la Diputación de Barcelona, ​​en el marco de los mapas de patrimonio cultural que realiza con sus municipios, cataloga algunos árboles del pueblo como Especímenes Botánicos Singulares. Sólo tres de los cinco árboles recogidos en el POUM, coinciden con los cinco árboles que forman parte del mapa de la Diputación: Los tres pinos -que ahora son dos-; la encina de Ca l'Albornar y los plátanos de Las Masas.
Partiendo de esta singularidad local y en línea con otros proyectos de Mariona Moncunill como ""Forest, Forest"" (2012) o ""Text on the Snow on the Botanical Garden"" (2012), ""AIL / EBS"" (acrónimo de Árboles de Interés Local / Especímenes Botánicos Singulares) explora la idea de naturaleza a través de su patrimonialización y de la gestión de su valor simbólico.
El vídeo ""Tengo almendros, pero no acaban de parecerse a un olivo"", se basa en dos entrevistas a Josep Maria Calaf, técnico de medio ambiente del ayuntamiento y a Josep Anton Pérez Arriaga, técnico de Tríada Servicios Culturales, empresa encargada de la realización de los mapas de patrimonio de la Diputación, relacionando dos discursos paralelos pero no del todo coincidentes.
La instalación documental ""Son árboles muy viejos"", en cambio, es una reflexión a través de una selección de documentación acumulada durante el proceso de investigación y en voz de la propia artista. Ésta, apunta a algunos aspectos críticos en relación a la patrimonialización de la naturaleza a través de la catalogación de especímenes botánicos concretos y los discursos complejos, altamente ideológicos y a veces contradictorios, en torno a estas prácticas. El título es una frase sacada de contexto de uno de los libros que forman parte de la instalación.
Finalmente, la serie de collages fotográficos ""Los Árboles de Europa"" contrapone la especificidad - y la singularidad! - de los cinco árboles de interés local con la imagen tipo de cada una de sus especies de dos guías de botánica. En las guías o enciclopedias de botánica, los árboles representados huyen de la singularidad para representar a toda su espècie, mientras que los árboles de interés local, son destacados y protegidos por contrario, por su singularidad. La serie, que toma el título de una de las guías utilizadas para los collages, sustituye una imagen por otra, inseriendo un árbol concreto y singular de Santa Margarida i els Monjos en representación de toda la especie y viceversa. 
Mariona Moncunill Piñas (Tarragona, 1984) vive y trabaja en Barcelona. Es licenciada en Bellas Artes y máster en Gestión Cultural por la UB. Es también doctora en Sociedad de la Información y el Conocimiento por la UOC. Ha cursado parte de sus estudios en la Koninklijke Academie van Beeldende Kunsten de La Haya (Países Bajos) y realizado estancias de investigación en el Instituto Tecnológico Metropolitano de Medellín (Colombia) y en el Instituto für Soziologie Martin-Luther-Universität Halle-Wittenberg (Alemania).
Su interés en el análisis discursivo y de las formas de uso y modificación del valor simbólico le han llevado a trabajar con diferentes ámbitos como el espacio expositivo y la museografía, la infografía periodística, la biblioteconomía y su gestión del conocimiento o la construcción de la idea de naturaleza a parques y jardines botánicos.
Ha expuesto individual y colectivamente en el MAC (Mataró, 2017), en la Raeren (Roma, 2017), MUSAC (León, 2017), el Espacio 13, Fundación Joan Miró (Barcelona, ​​2012), en el Convento de los Ángeles del MACBA (Barcelona, ​​2014), el Espacio Cultural Caja Madrid (Barcelona, ​​2010), Gallery Augusta (Helsinki, 2013), Centro de Arte el Patio (Amposta, 2013) o Arts Santa Mónica (Barcelona, ​​2013) entre otros. A Palmadotze ha participado en diferentes proyectos como ""Swaab 2017"" y muestras colectivas como ""Paisajes. El estigma de lo social ""(2015) comisariada por Imma Prieto (2015),"" Reset II ""(2013) comisariada por Valentín Roma o"" 4 x 12 y el Gato ""(2008) de la mano de Amanda Cuesta. Su obra ha sido premiada entre otros con el Premio Generación 2014 (2013), la Beca Ramón Acín de Artes Plásticas (2011), la Beca a la Creación Artística Fundación Guasch Coranty (2010) y el Premio Miquel Casablancas (2008). También ha recibido becas de residencia en HIAP (Helsinki, 2013) y Rupert (Vilnius, 2013).
 
Agradecimientos: Sergi Botella, José María Calaf, José Moncunill Giró, Eduard Parés, Josep Anton Pérez Arriaga, Imma Pulido.","null","null","null","http://www.artbarcelona.es/es/exposiciones/ailebs/"
"1526029500-65","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/elscolorsdaquellaterraoblidada14-70x70-2018.jpg","N2 Galería","","","Manu vb Tintoré","26.04.18 – 15.06.18","26.04.18 – 15.06.18","N2 Galería","Petite Nature","","null","null","null","http://www.artbarcelona.es/es/exposiciones/petite-nature/"
"1526029500-66","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/Adde-38-2017_Lienzo-157x212x4.jpg","Victor Lope Arte Contemporáneo","","","Francisco Suárez","03.05.18 – 16.06.18","03.05.18 – 16.06.18","Victor Lope Arte Contemporáneo","Adde","","null","null","null","http://www.artbarcelona.es/es/exposiciones/adde/"
"1526029500-76","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/Art-Barcelona_imatge.jpg","Galería Toni Tàpies","","","Antoni Tàpies","25.03.18 – 27.07.18","25.03.18 – 27.07.18","Galería Toni Tàpies","El meu índex","","null","null","null","http://www.artbarcelona.es/es/exposiciones/el-meu-index/"
"1526029500-62","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/05/artbarcelona.jpg","Galería Eude","","","Ansesa, Arranz Bravo, Casanoves, Ferran, Guinovart, Maxart, Ràfols Casamada, Riera i Aragó, Gerard Sala, Tharrats, Vayreda","03.05.18 – 15.09.18","03.05.18 – 15.09.18","Galería Eude","Obra gráfica original. Homenaje a Edicions Bertó","","null","null","null","http://www.artbarcelona.es/es/exposiciones/obra-grafica-original-homenaje-a-edicions-berto/"
"1526029500-64","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/03/GM-309-copia.jpg","ProjecteSD","","","Guy Mees","23.03.18 – 26.05.18","23.03.18 – 26.05.18","ProjecteSD","Guy Mees: Espace Perdu. Una exposición en dos capítulos","","null","null","null","http://www.artbarcelona.es/es/exposiciones/guy-mees-espace-perdu-una-exposicion-en-dos-capitulos/"
"1526029500-60","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/3W3A9645.jpg","Galería Joan Prats","","","Muntadas","13.04.18 – 17.06.18","13.04.18 – 17.06.18","Galería Joan Prats","Edicions II","","null","null","null","http://www.artbarcelona.es/es/exposiciones/edicions-ii/"
"1526029627-113","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/PLENSA.-Invisible-Sanna_Premsa-R-MR.jpg","PALMADOTZE","","http://www.artbarcelona.es/es/exposiciones/obra-grafica-reciente/","Jaume Plensa","","07.04.18 – 30.06.18","PALMADOTZE","Obra gráfica reciente","Jaume Plensa es uno de los artistas españoles con más proyección internacional que a lo largo de casi cuarenta años ha desarrollado una elaborada y personal producción que incluye escultura, dibujo, obra gráfica, libros de artista, escenarios y vestuarios para ópera y teatro o proyectos de escultura pública. Sin embargo, el artista afirma su formación y vocación: ""Siempre termino haciendo escultura, con independencia del medio que utilice... no concibo la escultura como una forma física de llenar el espacio, sino como una fuente de energía, de vibración, que emana de las cosas expandiéndose en el espacio."" Soportes, técnicas y materiales son contenedores y vehículos para captar la belleza y reflexionar sobre el ser y su relación con el espacio, el lenguaje, la dualidad o la memoria.
Palmadotze ha seguido con interés la evolución de su trabajo iniciado a principios de los ochenta y el artista ha participado en diferentes exposiciones y proyectos de la galería como ""Muestra de Escultura Actual"" (1990), la intervención ""Una ciudad hospitalaria"" en el Hospital Comarcal del Alt Penedès (1995) o la exposición ""Cupajes y otras alquimias II"" en la Capilla de St. Juan de Vilafranca dentro del Festival Arts Penedés 2000.
La presente exposición, la primera en la sede de Mas Pujó, reúne una selección de obra gráfica reciente pensada para ser acogida en el espacio de la masía, cuyo origen se remonta al siglo XV. En este espacio de memoria individual, familiar y colectiva, el trabajo de Plensa adquiere, rebela y amplifica su significado. Las obras muestran cuerpos y rostros de hombres, mujeres y niños anónimos, y evocan con intencionada neutralidad su mirada, sonrisa y gesto. Paradójicamente, la falta de rasgos que delaten su identidad no evita transmitir su presencia y esencia individual vinculada según el artista a un lugar y un tiempo. ""Cada ser humano es un lugar ... un espacio habitado en sí mismo que se desplaza y desarrolla, un lugar en tiempo y geografía, en volumen y color ... cada vez que un ser humano muere, una casa se cierra y se pierde un lugar .... Mi obra es su memoria, la fijación congelada de tanto y tanto esfuerzo, desarrollándose y desapareciendo en la fugacidad de la luz... mi obra está dedicada a toda la gente que aparece y desaparece casi como el perfume, que deja un rastro y se vuelve invisible...... Cuando alguien desaparece lo hace gran cantidad de información privilegiada"". Información que Plensa evoca a través de cuerpos hechos de palabras, letras o signos, o de siluetas acompañadas de frases que constatan la importancia y relevancia que la poesía y la literatura tienen en su obra como catalizadores también de emoción y reflexión, necesarios para “crear modelos éticos"" inspiradores para la sociedad.
Desde 1980 Jaume Plensa (Barcelona, ​​1955) ha mostrado regularmente su trabajo en prestigiosas galerías e instituciones de todo el mundo, entre ellas la Fundación Joan Miró (Barcelona), el Institut Valencià d’Arte Modern (Valencia), el Nasher Sculpture Center (Dallas, Texas), el Museo Picasso (Francia), el Yorkshire Sculpture Park (Inglaterra), el Tampa Museum of Art (Florida), el Museo de Arte de Toledo (Ohio), la Galerie Nationale du Jeu de Paume ( Paris), el Malmö Konsthall (Malmö, Suecia), el Museo Nacional Centro de Arte Reina Sofía (Madrid), el Arts Club of Chicago o el MAMCO-Museo de Arte Moderne et Contemporain (Saint-Étienne Métropole, Francia). El reconocimiento internacional y la trascendencia de su obra, van de la mano en numerosos proyectos de escultura pública, de los que destacamos ""As One"" (Pearson International Airport, Toronto), ""Crown Fountain"" (Millennium Park, Chicago), "" Dream ""(Liverpool),"" Breathing ""(BBC Broadcasting Tower, Londres),"" Possibilities ""(Lotte Tower, Seúl), Rice University (Texas),"" Source ""(Montreal, Canadá) o el más reciente Pérez Art Museum Miami (Florida). Asimismo la exposición ""Together"" en la basílica de San Giorgio Maggiore fue uno de los atractivos de la Bienal de Venecia 2015. Ha sido galardonado con premios nacionales e internacionales, incluyendo la Medalla de Chevalier des Arts et des Lettres (Ministerio de Cultura Francia, 1993), el Premio Fundación Calder (1996), el Premio Nacional de las Bellas Artes (Generalitat de Cataluña, 1997), el Premio Nacional Bellas Artes (Madrid, 2012) y el prestigioso Premio Velázquez de las Artes (Madrid, 2013). En 2005 fue investido Doctor Honoris Causa por la School of the Art Institute de Chicago. En el próximo otoño presentará un proyecto para el Museo Nacional Centro de Arte Reina Sofía en el Palacio de Cristal de Madrid y una exposición en el MACBA de Barcelona, ​​ciudad en la que vive actualmente.","null","null","null","http://www.artbarcelona.es/es/exposiciones/obra-grafica-reciente/"
"1526029556-95","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/03/06.jpg","Ana Mas Projects","","http://www.artbarcelona.es/es/exposiciones/de-otra-forma/","Sabine Finkenauer","","07.04.18 – 18.05.18","Ana Mas Projects","De otra forma","Ana Mas Projects presenta en su espacio de Barcelona la exposición individual de la artista alemana Sabine Finkenuaer. La propuesta titulada “De otra forma” propone crear un universo de poética propia, un clima sereno, delicado, pero a la vez inquietante, compuesto de obras de gran formato, en su mayoría pinturas, que manifiestan un novedoso cambio con respecto al trabajo desarrollado en los últimos cinco años.
La obra de Sabine flota en torno a relatos delicados que aluden a mundos infantiles, cargados de feminidad y fantasía pero que a la vez proponen una relectura de la tradición abstracta, carente de todo trascendentalismo. Por esto resulta lógico entender ese proceso en busca de la inocencia perdida, bajo unas formas simples e ingenuas en apariencia esenciales, sintéticas, casi arquitectónicas. Ahí la artista teje, construye un mundo altamente connotativo, despojado de dramatismo, sumido en la trivialidad cotidiana y dejando que aflore una ingenuidad a la vez cargada de una ironía discreta, recatada, de baja intensidad ―no por ello menos efectiva.
El universo de Finkenauer nos muestra un variado repertorio de elementos con escasas referencias narrativas: flores, casas, árboles, ramas, cuerpos, estructuras geométricas, retículas de color, interiores, habitaciones, insinuaciones arquitectónicas. Formas heredadas del surrealismo y del constructivismo que destilan una estética racionalista, de la ilustración infantil, de los juegos del Lego y de ejercicios de Bauhaus. Esa visión se traslada a la pintura e integra sus obras en el espacio tridimensional.","null","null","null","http://www.artbarcelona.es/es/exposiciones/de-otra-forma/"
"1526029500-82","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/fotos_expo_ferran-9.jpg","RocioSantaCruz","","","Ferran Garcia Sevilla, Tríptic La Guerra, Pàgines simples et alia","05.04.18 – 27.07.18","05.04.18 – 27.07.18","RocioSantaCruz","Tríptico La Guerra, Páginas simples et alia","","null","null","null","http://www.artbarcelona.es/es/exposiciones/triptico-la-guerra-paginas-simples-et-alia/"
"1526029500-72","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/A_53web.jpg","àngels barcelona","","","Daniel G. Andújar","20.04.18 – 22.06.18","20.04.18 – 22.06.18","àngels barcelona","El gato de Schrödinger. La superposición de estados y la paradoja del observador.","","null","null","null","http://www.artbarcelona.es/es/exposiciones/el-gato-de-schrodinger-la-superposicion-de-estados-y-la-paradoja-del-observador/"
