event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__10,event_id
"Andrés Corchero e Ivo Sans presentan Sin respuestas","Danza","http://www.macba.cat/uploads/20150803/andrescorchero1_b.4.jpg","Cuando el abogado le dice al juez «No hay más preguntas», no significa que no tenga más preguntas que hacer, sino que el hecho de hacerlas puede ser perjudicial para su causa, por la respuesta que obtenga. La causa de este dúo, formado por el bailarín Andrés Corchero y el músico y artista visual Ivo Sans, es una búsqueda sin objetivo y se basa en ese entendimiento mutuo que se establece antes de las palabras, en el no querer saber lo que se busca por miedo a no querer seguir buscándolo. Entre dos cuerpos escénicos se establece una conexión con unas inquietudes universales y atemporales: «quiénes somos», «de dónde venimos», «adónde vamos»... ¡Qué suerte no tener respuesta! Así nos lo podemos seguir preguntando.



Danza: Andrés Corchero  

Música: Ivo Sans","10 oct. 2015","null","MACBA","","http://www.macba.cat/es/andres-corchero-ivo-sans/1/actividades/activ","null","null","null","null","/es/andres-corchero-ivo-sans/1/actividades/activ"
"Visitas a las exposiciones","Actividades exclusivas MACBA Amics","http://www.macba.cat/uploads/20140318/_MG_8528.5.jpg","VISITES A LES EXPOSICIONS DEL MACBA  



Especies de espacios. Especies comentadas

Miércoles 9 de septiembre y jueves 1 de octubre de 2015, 19 h

Especies comentadas es una serie de cinco visitas a la exposición Especies de espacios guiadas por expertos en distintas disciplinas. Cada visita propondrá un recorrido personal por la exposición y será grabada. De este modo se irá creando un repositorio de audio en la web que, más allá de la visita, pondrá al alcance del público diferentes miradas sobre la exposición.

9 de septiembre: visita a cargo de Frederic Montornés, comisario de la exposición.

15 de octubre: visita a cargo de los arquitectos del estudio MAIO (Maria Charneco, Alfredo Lérida, Guillermo López y Anna Puigjaner), responsables del diseño expositivo.

Salas de exposición planta 2. Entrada gratuita. Es necesario confirmar la asistencia en amics@macba.cat. Plazas limitadas.



Miserachs Barcelona

Viernes 18 de septiembre de 2015, 19 h

Visita comentada a cargo de Horacio Fernández, comisario de la exposición.

Salas de exposición planta 1. Entrada gratuita. Es necesario confirmar la asistencia en amics@macba.cat. Plazas limitadas.





VISITAS A OTRAS INSTITUCIONES 



Martes 22 de septiembre de 2015, 18 h, Museu Nacional d’Art de Catalunya 

Visita a la exposición Del segundo origen. Artes en Cataluña, 1950-1977 a cargo de Valentín Roma, comisario de la exposición, junto con Juan José Lahuerta y Pepe Serra.

La muestra comprende uno de los períodos más relevantes del arte catalán del siglo XX, que arranca después de Dau al Set y apunta hacia el proceso de restitución democrática e institucional del país. Es también el momento en que se inicia la Colección MACBA, que ha colaborado desde el principio en esta exposición.



Martes 13 de octubre de 2015, 19 h, CCCB

Presentación y visita a la exposición Piso piloto. Medellín-Barcelona, a cargo de Àlex Giménez, co-comisario de la exposición.

Más allá de sus diferencias, Medellín y Barcelona son ciudades de dimensiones comparables. El proyecto Piso piloto tiene como objetivo promover el debate y presentar una serie de propuestas que ayuden a dar respuesta a las problemáticas más importantes a las que se enfrentan ambas ciudades en torno al tema de la vivienda y su relación con el espacio público. Lugar de encuentro: Hall del CCCB","09 sep.","15 oct. 2015","MACBA","","http://www.macba.cat/es/amigos-visitas-a-les-exposiciones-otono/1/actividades/activ","null","null","null","null","/es/amigos-visitas-a-les-exposiciones-otono/1/actividades/activ"
"V.I.C.T.O.R. GOLDEN BUG & DESILENCE STUDIO","Música","http://www.macba.cat/uploads/20150803/VICTOR.6.jpg","V.I.C.T.O.R es el nuevo proyecto live del artista de música electrónica Golden Bug y el estudio de arte visual barcelonés Desilence Studio. Mezcla de slow techno con toques discoids, visuales orgánicos y mapping retrofuturista, V.I.C.T.O.R transporta al espectador en una experiencia musical y visual única.","03 oct. 2015","null","Convent dels Àngels","","http://www.macba.cat/es/v-i-c-t-o-r/1/actividades/activ","null","null","null","null","/es/v-i-c-t-o-r/1/actividades/activ"
"Festival B-Anime","null","http://www.macba.cat/uploads/20150803/CARTEL_B_ANIME_MACBA3.6.jpg","B-Anime, el Festival de Anime de Barcelona, celebrará su primera edición en octubre de 2015. Su objetivo primordial es dar visibilidad a estrenos de anime inéditos en Barcelona, producciones de gran calidad artística que, en muchos casos, han sido seleccionadas y/o premiadas en festivales de todo el mundo. Muchas de estas piezas son de difícil acceso para el público, un público desatendido dentro del panorama audiovisual y cultural de Cataluña. El B-Anime quiere ofrecer actividades culturales para preadolescentes y jóvenes, con la creación de un nuevo espacio dirigido a chicos y chicas entre 8 y 18 años que sean fans de la cultura de anime o simplemente quieran empezar a disfrutarla.



El Festival B-Anime está organizado por MAGOEXPERIENCE y MAGOPRODUCTION, en colaboración con el Museu d’Art Contemporani de Barcelona (MACBA) y Habitació 1418. Cuenta con el apoyo del Consulado de Japón en Barcelona, el Institut Català de les Empreses Culturals (ICEC), el Institut de Cultura de Barcelona (ICUB), Televisió de Catalunya (TV3), la Japan Foundation de Madrid, la distribuidora Selecta Visión y la Facultad Blanquerna de Barcelona. Con la participación de Casa Asia y Espacio Daruma.



Horarios disponibles en www.b-anime.org","09 oct.","11 oct. 2015","MACBA / CCCB","","http://www.macba.cat/es/festival-b-anime/1/actividades/activ","null","null","null","null","/es/festival-b-anime/1/actividades/activ"
"School Wars: ¿está la escuela pública en peligro en Europa?","Debates de Educación. A càrgo de Melissa Benn","http://www.macba.cat/uploads/20120604/seminarios_770X315.jpg","En la nueva edición de los Debates de Educación la invitada serà  Melissa Benn, escritora británica y activista por la educación comprensiva y pública de calidad, así como fundadora de la Local Schools Network (Red de Escuelas Locales en el Reino Unido), iniciativa que pretende visibilizar el papel clave de la escuela pública en la cohesión social y al mismo tiempo mostrar sus éxitos para desmontar los mitos y las falsas creencias que justifican algunas de las reformas educativas que ha habido en el Reino Unido.



La escuela pública en Europa ha dado oportunidades únicas a sus ciudadanos y ciudadanas, de modo que ha favorecido la movilidad social y la oportunidad de una vida digna y de calidad. Melissa desmiente el tópico de un modelo de escuela pública fracasada y muestra que es posible crear escuelas de alto rendimiento académico para todo el mundo, pone en evidencia la importancia de la educación como principal factor reductor del clasismo de origen y  hace de esta una opción de compromiso personal.



Como historiadora, Melissa analiza en su libro School Wars: the Battle for Britain’s Education la trayectoria de la escuela pública británica desde 1945. Afirma que esta escuela está en peligro y hace un llamamiento a defender un modelo de escuela que no genere ciudadanos de segunda categoría. Además, desmonta algunos mitos sobre los sistemas educativos para afirmar que la educación comprensiva con escuelas inclusivas y no segregadas puede conducir a un mayor éxito académico. También afirma que la mercantilización de la educación impacta negativamente en los resultados en diferentes partes del mundo y se preocupa por el impacto que algunas de estas políticas tienen en la equidad educativa.



El caso británico debe permitir proyectar un poco de luz en el debate educativo actual. La educación sufragada con recursos públicos, ¿qué tiene que garantizar? ¿Estamos donde tenemos que estar en el modelo de escuela financiada con recursos públicos en Cataluña?","06 oct. 2015","null","Auditori Meier","","http://www.macba.cat/es/debates--educacion-melissa-benn/1/actividades/activ","null","null","null","null","/es/debates--educacion-melissa-benn/1/actividades/activ"
"Todo al revés","Nuevo programa para familias con niños de 1 a 5 años","http://www.macba.cat/uploads/20150514/088.7.jpg","Experiencias desde el arte contemporáneo dirigidas al público familiar, para que los más pequeños de la casa y también sus padres y madres puedan acercarse de manera lúdica a los procesos artísticos de creadores contemporáneos. Una actividad práctica de descubrimiento y exploración en la que se ponen en juego las obras del Museo.



En el mundo de Sergi Aguilar encontramos una gran variedad de utensilios. Si nos fijamos en ellos, podemos adivinar cuáles han sido sus usos y vivencias. ¿Son utensilios extraños o nos resultan familiares? Quizá no tienen relación directa con los objetos que nos rodean en casa, pero también están ordenados, apilados, colocados de distintas maneras. Cuando un objeto entra en juego en este taller, todo está por descubrir, por hacer y ser explicado. ¿Cómo se coge? ¿Qué será? ¿Para qué debe servir?... Preguntas y experiencias sin fin para compartir una mañana en familia.



Taller familiar a cargo de Experimentem amb l’Art.","26 sep.","24 oct. 2015","MACBA","","http://www.macba.cat/es/familia-todo-al-reves-otono/1/actividades/activ","null","null","null","null","/es/familia-todo-al-reves-otono/1/actividades/activ"
"Esperit! Mau Boada","Arte & Humor & Poesía & Danza & Teatro & Música & Magia","http://www.macba.cat/uploads/20150803/DSC_1012ret.8.jpg","Tras surcar medio mundo con infinidad de aventuras musicales, pero sobre todo con Les Aus, Mau Boada presenta su proyecto más personal, Esperit!. Un hombre-orquesta que nos hace viajar con canciones de cuna alucinógenas, folk triposo, sonidos telúricos, ruidos y escapadas al circo. A pesar de su juventud, Mau Boada ya ha dejado su huella en más de una veintena de discos. Se hace presente en el undergound de Nueva York con la misma naturalidad que en Sant Celoni o el Heliogàbal, o como cuando giraba por Europa en una compañía de circo. Sus conciertos son siempre imprevisibles y transitan por caminos inesperados, llevando al público al límite de la hipnosis. Un multiinstrumentista iluminado y sonriente. Una música que nace libre y fluye libre.



Más info: www.bankrobberbcn.bandcamp.com","24 oct. 2015","null","MACBA","","http://www.macba.cat/es/esperit-mau-boada/1/actividades/activ","null","null","null","null","/es/esperit-mau-boada/1/actividades/activ"
"Habitanime","A cargo del equipo del Festival B-Anime","http://www.macba.cat/uploads/20150803/habitanime.6.jpg","Ese día Habitació 1418 se sumará a las actividades propuestas por el Festival B-Anime. Con motivo de esta primera edición del B-Anime, los roomers y la organización crearán sinergias para que el festival se contagie de la esencia de #Habitació1418.



A partir de encuentros con expertos del anime, casi a modo de un viaje relámpago a las profundidades de Japón, Habitació 1418 se sumerge en este calidoscopio o universo de animación habitado por Luffy, Kakashi, Ryuk y los demás protagonistas. Talleres y encuentros abiertos a todos para entender, aprender y vivir el anime.



El Festival B-Anime está organizado por MAGOEXPERIENCE y MAGOPRODUCTION, en colaboración con el Museu d’Art Contemporani de Barcelona (MACBA) y Habitació 1418. Cuenta con el apoyo del Consulado de Japón en Barcelona, el Institut Català de les Empreses Culturals (ICEC), el Institut de Cultura de Barcelona (ICUB), Televisió de Catalunya (TV3), la Japan Foundation de Madrid, la distribuidora Selecta Visión y la Facultad Blanquerna de Barcelona. Con la participación de Casa Asia y Espacio Daruma.","10 oct. 2015","null","CED","","http://www.macba.cat/es/habitanime/1/actividades/activ","null","null","null","null","/es/habitanime/1/actividades/activ"
"Jam de collage amb Max-o-matic","El Taller de los amigos","http://www.macba.cat/uploads/20150202/taller_2.3.jpg","A raíz de los talleres de collage impartidos por Max-o-matic para los Amigos del MACBA, surge la necesidad de seguir trabajando más libremente en esta práctica, compartir recursos y proponer un espacio de reflexión sobre el collage. En este taller, Max Tuja hará una breve introducción sobre sus referentes y presentará el trabajo de otros artistas del collage; el resto del tiempo se dedicará a la práctica. Los participantes deben traerse su propio material.","18 sep.","11 dic. 2015","Espai Taller  MACBA","","http://www.macba.cat/es/amigos-jam-collage-max-o-matic/1/actividades/activ","null","null","null","null","/es/amigos-jam-collage-max-o-matic/1/actividades/activ"
"Mi casa es tu casa","Nuevo taller","http://www.macba.cat/uploads/20150728/MACBA_Experimentem_amb_Art_72dpi_043.4.jpg","En este taller nos proponemos convertir el Museo en nuestra casa y nuestra casa en un museo donde exponer nuestras historias. A partir de una visita a la exposición Especies de espacios, jugaremos con la arquitectura que nos rodea y trabajaremos con un material constructivo, unas indicaciones determinadas y una negociación colectiva para crear una instalación entre todos.","26 sep.","25 oct. 2015","MACBA","","http://www.macba.cat/es/familia-mi-casa-es-tu-casa/1/actividades/activ","null","null","null","null","/es/familia-mi-casa-es-tu-casa/1/actividades/activ"
"La pantalla en blanco","Ciclo comisariado por Frederic Montornés y Cloe Masotta","http://www.macba.cat/uploads/20150803/credito_en_la_foto.6.jpg","La primera página de Especies de espacios de Georges Perec es una imagen, o una multitud de imágenes que palpitan invisibles entre cuatro trazos negros. Es una ilustración de un poema de Lewis Carroll cuya leyenda indica que se trata de un mapa, una cartografía. Como ese mapa, también la página en blanco y la pantalla de cine son espacios llenos de posibilidades delimitadas por un encuadre o los márgenes de un papel. A las «especies de espacios» perequianos sumamos la sala de cine como una extensión del espacio del museo. Un espacio que se dota de significado a través de un programa de películas y obras de la Colección MACBA, presentadas por artistas cuya obra forma parte de la exposición.","07 oct.","02 dic. 2015","Auditori Meier","","http://www.macba.cat/es/pantalla-en-blanco/1/actividades/activ","null","null","null","null","/es/pantalla-en-blanco/1/actividades/activ"
