event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__10,event_id
Francesc Torres conversa con Xavier Antich y Antonio Monegal,El arte contemporáneo a partir de los artistas de la Colección MACBA,http://www.macba.cat/uploads/20151104/0471_770x.jpg,"Este ciclo de conversaciones da la palabra a los artistas que pertenecen a la Colección MACBA para reflexionar, junto con los teóricos, críticos y comisarios con quienes han colaborado, sobre su trabajo actual y su trayectoria.	

		

Francesc Torres

Artista plástico, comisario y ensayista, ha trabajado en París, Chicago y Nueva York. Actualmente reside en Cataluña. Ha sido presidente de la Associació d’Artistes Visuals de Catalunya y en 2013 representó a Cataluña y las Islas Baleares en la Bienal de Venecia con la obra 25%, comisariada por Jordi Balló. Ha expuesto en instituciones como el Whitney Museum of American Art en Nueva York, Los Angeles Museum of Contemporary Art, el Museo Nacional Centro de Arte Reina Sofía de Madrid, o el Massachusetts Institute of Technology. Fue galardonado con el Premi Nacional de Belles Arts de la Generalitat de Catalunya y más tarde con el Premi Nacional d’Arts Visuals por la exposición retrospectiva Da capo presentada en el MACBA. Vinculado al colectivo Grup de Treball y miembro destacado del movimiento de arte conceptual catalán de comienzos de los años setenta, su trabajo ha explorado las interacciones del artista con el público, el espacio y el tiempo para centrarse más adelante en la recuperación de la memoria histórica y en la manera de evidenciar los mecanismos por los que la política, las instituciones de poder, el Estado y los medios de opinión pública controlan la sociedad civil.



Antonio Monegal 

Catedrático de Teoría de la Literatura y Literatura Comparada en la Universitat Pompeu Fabra. Actualmente coordina el Doctorado en Humanidades y el Grupo de Investigación en Literatura Comparada de la UPF. Se doctoró en la universidad de Harvard y ha enseñado en Cornell, Harvard, Princeton y Chicago. Es autor de Luis Buñuel de la literatura al cine. Una poética del objeto y En los límites de la diferencia. Poesía e imagen en las vanguardias hispánicas; coordinador de Literatura y pintura y Política y (po)ética de las imágenes de guerra; y editor de las obras de García Lorca Viaje a la luna, El público y El sueño de la vida. En 2004 fue uno de los comisarios, junto con Francesc Torres y José María Ridao, de la exposición En guerra en el Centre de Cultura Contemporània de Barcelona e investigador principal del proyecto «El discurso de la guerra en la literatura y las artes visuale». De 2009 a 2013 fue vicepresidente del Consell de Cultura de Barcelona y presidente de su Comité Ejecutivo.



Xavier Antich 

Filósofo, profesor de Ideas Estéticas en la Universidad de Girona, donde también dirige el Máster en Comunicación y Crítica. Ha sido director del Programa de Estudios Independientes del MACBA y actualmente es presidente del patronato de la Fundació Antoni Tàpies. Ha sido profesor de doctorado en la Universidad de Stanford, en la Facultad de Filosofía de la Universidad de Barcelona y en la Facultad de Ciencias de la Comunicación Blanquerna de la Universitat Ramon Llull. Sus investigaciones más recientes se centran en los ámbitos de la estética y el arte contemporáneos, con especial atención a las teorías surgidas en el marco posterior a 1967 y a las prácticas artísticas de los últimos cuarenta años. Es autor, entre otros, de los libros El rostre de l’altre. Passeig filosòfic per l’obra d’Emmanuel Lévinas (Eliseu Climent Editor, 1993) y Antoni Tàpies. Certeses sentides (Museo Nacional de Cracovia e Instituto Cervantes, 2000), y editor del volumen Antoni Tàpies. En blanc i negre. Assaigs 1955-2003 (Galaxia Gutenberg-Círculo de Lectores, 2008).",18 feb. 2016,null,Auditori Meier,,http://www.macba.cat/es/amics-conversa-francesc-torres/1/actividades/activ,null,null,null,null,/es/amics-conversa-francesc-torres/1/actividades/activ
Bamba-lina,A cargo de Tantarantana. Habitació 1418,http://www.macba.cat/uploads/20160111/tantarantana.3.jpg,"La Habitació 1418 se convierte a lo largo de distintas sesiones en un laboratorio de sonido y en un espacio de creación teatral.



Bajo la supervisión del director musical Nuno Rebelo y con la colaboración de uno de los coros del proyecto Clavé XXI del Palau de la Música Catalana, los roomers de la Habitació 1418 aprenderán a diseñar la música de un espectáculo teatral. El proyecto de creación participativa PI(E)CE, impulsado por el Teatro Tantarantana de Barcelona, reúne a jóvenes y mayores de los barrios del Raval, Poble Sec y Ciutat Vella e implica a los institutos Consell de Cent y Milà i Fontanals. Juntos trabajarán en la realización de una nueva pieza teatral.",23 ene.,27 feb. 2016,CED,,http://www.macba.cat/es/bamba-lina/1/actividades/activ,null,null,null,null,/es/bamba-lina/1/actividades/activ
Hacia adentro y hacia afuera…,Taller a cargo de Jordi Ferreiro. Actividad recomendada para niños y niñas a partir de 6 años,http://www.macba.cat/uploads/20160127/_especies_espais_2015_139.4.jpg,"En este taller, la obra de Luz Broto –un agujero que atraviesa el museo– nos servirá de punto de partida para jugar y experimentar con la arquitectura del interior y el exterior del edificio. Trabajaremos este espacio que nos rodea con un material constructivo, unas indicaciones determinadas y una negociación colectiva para crear una instalación entre todos.",30 abr.,29 mayo 2016,Espai Taller  MACBA,,http://www.macba.cat/es/hacia-adentro-y-hacia-afuera/1/actividades/activ,null,null,null,null,/es/hacia-adentro-y-hacia-afuera/1/actividades/activ
¿Otra historia es posible?,Taller a cargo de Ariadna Parreu y Antoni Hervàs. Actividad recomendada para niños y niñas a partir de 6 años,http://www.macba.cat/uploads/20160127/rep_desitjosinecessitats_2015_140.0.JPG,"Este taller nos llevará a descubrir un recorrido animado por la Colección MACBA a través de las obras que nos cuentan una historia diferente. Crearemos una fotonovela sin pies ni cabeza, con personajes y relatos que se entrelazan y nos arrastran hacia un final insospechado.",02 abr.,24 abr. 2016,Espai Taller  MACBA,,http://www.macba.cat/es/otra-historia-es-posible/1/actividades/activ,null,null,null,null,/es/otra-historia-es-posible/1/actividades/activ
¡Archivomaníacos!,Taller a cargo de Jordi Ferreiro. Actividad recomendada para niños y niñas a partir de 6 años,http://www.macba.cat/uploads/20151105/Fons_Miserachs_06.5.jpg,"El archivo de fotografías de Xavier Miserachs y su fotolibro Barcelona, blanco y negro nos sirven de excusa para trabajar la idea de coleccionar y archivar nuestra colección particular. Pero, ¿qué coleccionamos? ¿Por qué lo hacemos? Y ¿cómo mostramos nuestra colección? Visitaremos la exposición A.XMI y nos sumergiremos en el mar de imágenes fotográficas, documentos, libros y revistas del fondo de este fotógrafo: 60.000 negativos, 20.000 transparencias y 2.500 hojas de contactos para crear nuestra colección en familia.",05 mar.,27 mar. 2016,Espai Taller  MACBA,,http://www.macba.cat/es/mef-archivomaniacos/1/actividades/activ,null,null,null,null,/es/mef-archivomaniacos/1/actividades/activ
¿Qué significa grande?,Nuevo programa para familias con niños de 1 a 5 años,http://www.macba.cat/uploads/20160113/MACBA_Experimentem_amb_Art_300dpi_022.0.jpg,"En arte contemporáneo se habla de gran formato, de pequeño formato y de escala como uno de los elementos que determinan la experiencia entre obra, público y arquitectura. Pero, ¿qué significa gran tamaño? ¿Qué significa ser grande o ser mayor? ¿Cuáles son las referencias que utilizamos? En esta actividad nos fijaremos en el tamaño real de las cosas. ¿Existen medidas incomprensibles? ¿Qué valores ponemos en diálogo cuando nos imaginamos lo grande y lo pequeño?



Taller familiar a cargo de Experimentem amb l’Art.",06 feb.,02 abr. 2016,Espai Taller  MACBA,,http://www.macba.cat/es/que-significa-grande/1/actividades/activ,null,null,null,null,/es/que-significa-grande/1/actividades/activ
Insectos sociales: aprendizajes comunes y polinización por el cambio,"Arte, ciencia y tecnología",http://www.macba.cat/uploads/20160126/isectes.jpg,"Retransmisión prevista en directo a partir de les 10 h. 







El MACBA y el CCCB proponen una jornada de charlas, talleres y documentación sobre proyectos excepcionales en una confluencia entre arte, ciencia y tecnología que incita a la acción y participación ciudadana.



¿Quieres poner en práctica una actividad multidisciplinaria en tu centro educativo? ¿Quieres saber cómo arte, ciencia y tecnología pueden pasar a la acción para afrontar juntos retos sociales inmediatos? ¿Quieres aprender de iniciativas comunitarias que podrían tener un impacto directo en tu barrio? O quizá… ¿quieres contribuir con la artista Natalie Jeremijenko a un proyecto para combatir el cambio climático desde el Raval pero que tiene sus raíces en Nueva York?



Durante la jornada, cerca de veinte voces de matices muy distintos compartirán sus proyectos favoritos, hablarán de sus propias iniciativas, leerán salas de exposiciones con otros ojos o nos incitarán a participar en actividades para polinizar cerebros, calles y escuelas con semillas para el cambio, el impacto social y la acción colectiva. Nuevas formas de entender el aprendizaje y el conocimiento, aptas para cualquier actor del ámbito educativo, se desplazarán, convivirán y se adaptarán a dos instituciones y a un barrio con un formato móvil, frágil y mutante. Al menos por un día, nos transformaremos en insectos sociales capaces de intervenir colectivamente en cualquier espacio, ámbito o contexto.



Jornada dirigida a educadores, artistas, mediadores, trabajadores sociales, científicos y cualquier persona interesada.",06 feb. 2016,null,MACBA / CCCB,,http://www.macba.cat/es/jornadas-insectos-sociales/1/actividades/activ,null,null,null,null,/es/jornadas-insectos-sociales/1/actividades/activ
Museo de Futuros Naturales,MACBA se vive,http://www.macba.cat/uploads/20150513/estrella_50.jpg,"Esta propuesta se enmarca en la jornada «Insectos sociales: aprendizajes comunes y polinización por el cambio», organizada con el Centre de Cultura Contemporània de Barcelona precisamente poco después de la celebración de la cumbre COP21 del cambio climático en París. La artista Natalie Jeremijenko muestra algunos aspectos de su trabajo en esta línea y pone en común parte de las acciones emprendidas en colaboración con vecinos y entidades del Raval durante el fin de semana del 6 y 7 de febrero.



Jeremijenko es una artista, científica, ingeniera e inventora centrada en temas ambientales y urbanos. Es profesora en los departamentos de Artes Visuales y de Ciencias de la Computación de la Universidad de Nueva York. La práctica multidisciplinaria de Jeremijenko se desarrolla en el campo emergente del diseño de sistemas socioecológicos en el llamado Antropoceno, la nueva era en la que estamos inmersos desde la Revolución Industrial.



Jeremijenko utiliza atracciones y espectáculos de investigación participativa en curso que abordan el reto de reimaginar nuestra relación con los sistemas naturales, especialmente en entornos urbanos. Su aproximación integra varias estrategias para rediseñar la energía y los alimentos con el fin de contribuir al bien común y mejorar la salud humana y del medio ambiente.",06 feb. 2016,null,MACBA,,http://www.macba.cat/es/museo-de-futuros-naturales/1/actividades/activ,null,null,null,null,/es/museo-de-futuros-naturales/1/actividades/activ
"360 grados, 14 minutos y 18 segundos",A cargo de Noupunt. Habitació 1418,http://www.macba.cat/uploads/20160111/360.4.jpg,"¿Qué pasaría si pudiéramos tener acceso a una realidad distinta o a un entorno real del pasado?



Estamos acostumbrados a lo panorámico, al 3D y más que familiarizados con lo virtual. Es tan necesario cuestionarse a uno mismo como poner en duda el entorno que habitamos. Tener la sensación de vivir en una historia o en una película no es nada nuevo, pero lejos de la conspiranoia… ¿Qué pasaría si a través de youtube o cualquier plataforma de video online pudiéramos tener acceso a una realidad distinta o a un entorno real del pasado?



Habitació 1418 se prepara para su primera experiencia de grabación en 360.",06 feb. 2016,null,CED,,http://www.macba.cat/es/360-grados-14-minutos-y-18-segundos/1/actividades/activ,null,null,null,null,/es/360-grados-14-minutos-y-18-segundos/1/actividades/activ
TeenTOUR: La Escocesa,"L’Habitació1418 visita La Escocesa, uno de los espacios de producción más interesantes y singulares de Barcelona.",http://www.macba.cat/uploads/20160201/LaEscocesa.3.jpg,"La Escocesa es un centro de producción artística multidisciplinar enfocado a las artes visuales, autogestionado y con vocación pública. Da cobertura a las necesidades de los artistas en las diferentes fases de su proceso de creación artística, en primer lugar, poniendo a disposición de los artistas espacios para talleres, en segundo lugar, potenciando la movilidad de los artistas y, finalmente, acompañando a los creadores en la presentación de su obra y buscando acuerdos con espacios y entidades para su promoción.",20 feb. 2016,null,CED,,http://www.macba.cat/es/hab1418-teentour-la-escocesa/1/actividades/activ,null,null,null,null,/es/hab1418-teentour-la-escocesa/1/actividades/activ
