event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías__artnou,event_maplink__1,event_id
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_9059.jpeg","NoguerasBlanchard","","","Enric Farres Duran","30.06.16 – 02.10.16","30.06.16 – 02.10.16","NoguerasBlanchard","Cualquier objeto excepto un papel","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/cualquier-objeto-excepto-un-papel1/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/01pfluegerstr.jpg","Galería H2O","","http://www.artbarcelona.es/artnou/es/exposiciones/zu-verschenken/","Berta Cusó","","30.06.16 – 29.07.16","Galería H2O","Zu Verschenken","Zu Verschenken (para dar) es un proyecto en curso que explora el fenómeno de una economíia informal específica en las calles de Berlín que opera ligeramente fuera del margen de la ley y más allá del intercambio capitalista.
Aquello que los Berlineses ya no necesitan no lo tiran, sino que lo dejan en la calle. Aquello que uno encuentra por la calle puede llevarlo a casa. Es un extraño y silencioso pacto no escrito, todos lo conocen, la mayoría lo acepta y muchos toman parte en esta práctica social.
No se produce ninguna transacción de intercambio entre donante y receptor. Es una transferencia que funciona mediante dos acciones independientes: el objeto es colocado en la calle, a menudo acompañado de una nota que indica «zu verschenken» (para dar), aquél que pasando por delante lo reconoce como un hallazgo se lo lleva a casa.
El estatus de estos objetos es una especie de limbo: entre titularidades consecutivas, potencialmente útiles pero degradándose a la intemperie, expuestos para una apropiación incondicional pero ilegal.
Talmente como etiquetas con el precio, llevan pegadas pequeñas notas. Anuncian «Para dar», «Para llevarse», «Limpias y desinfectadas», «Querido vecino, queda claro que nadie se interesa por estas cosas, sería bueno que se hiciera cargo de ellas usted mismo. Gracias!». En contraste con las etiquetas de precios, éstas no son los nombres para el fenómeno abstracto del valor económico, sino que evalúan el valor de uso en un intercambio comunicativo entre donante y receptor.
La ciudad se convierte en un depósito - almacén de objetos gratuitos que aparecen, desaparecen y eventualmente reaparecen en una constelación en constante cambio. La colección imposible de estos elementos temporalmente disponibles constituye un inventario infinito y un nuevo mapa de la ciudad que solamente puede ser captado por fragmentos y nunca completado.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/zu-verschenken/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_1344.jpg","etHALL","","http://www.artbarcelona.es/artnou/es/exposiciones/agon/","Antoni Hervás","","30.06.16 – 30.07.16","etHALL","Agón","Agón es un desafío al dibujo , una conversación entre espacios que anuncia acción. En griego antiguo es aquél momento en que algo va a pasar de la vida a la muerte. Muestra en su primer estado parte de la investigación sobre la capacidad transformista del dibujo de la cual parte “El misterio de Caviria” proyecto que está siendo realizado en el marco de BcnProducció ‘16.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/agon/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/FUNDACIO-JOAN-MIRO-Rosana-Antoli.jpg","Fundación Joan Miró","","","Rosana Antolí","30.06.16 – 11.09.16","30.06.16 – 11.09.16","Fundación Joan Miró","null","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/rosana-antoli/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/61.jpg","Victor Lope Arte Contemporáneo","","","Matthias Heiderich","30.06.16 – 30.07.16","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Material","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/material1/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/vista-expo-Alex-college-des-Bernardins-Paris-2015.jpg","Joan Prats Warehouse","","","Pauline Bastard","30.06.16 – 15.07.16","30.06.16 – 15.07.16","Joan Prats Warehouse","Alex","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/alex/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Passatge-studio.jpg","Passatge Studio","","http://www.artbarcelona.es/artnou/es/exposiciones/los-musculos-de-zaratustra/","Marcel Rubio y Víctor Balcells","","30.06.16 – 09.07.16","Passatge Studio","Los músculos de Zaratustra","Los músculos de Zaratustra es un proyecto a cuatro manos entre el artista Marcel Rubio i el escritor Víctor Balcells. Estos dos autores desarrollarán una creación conjunta, libre y esperpéntica de algunos de los parajes del célebre libro de Nietzsche, Así habló Zaratustra.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/los-musculos-de-zaratustra/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Gerard-Ort--n-----Vijfhoek.jpg","Galeria Estrany – de la Mota","","http://www.artbarcelona.es/artnou/es/exposiciones/vijfhoek/","Gerard Ortín","","30.06.16 – 16.09.16","Galeria Estrany – de la Mota","Vijfhoek","La exposición Vijfhoek, del artista Gerard Ortín, presenta el proyecto homónimo que desarrollo en Diemer Vijfhoek en el 2015. Diemer Vijfhoek es una zona verde en Diemen, municipio al este de Ámsterdam. Se trata de una península artificial de forma pentagonal resultado de la extracción de arena que se llevó a cabo en la década de los setenta con el fin de crear diques para proteger la planta de energía eléctrica que suministraba electricidad a la zona oriental de Ámsterdam y Diemen. El artista planteó una walk-performance a través de esa península para explorar la noción de toxicidad en la naturaleza mediante un paseo táctil cruzando los campos de ortigas. Una guía acompañó a los participantes y les proporcionaba algunas directrices del recorrido e información sobre la historia del lugar y sus alrededores, que habían sido utilizados como vertedero químico.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/vijfhoek/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Gerard-Ort--n-----Vijfhoek.jpg","Galeria Estrany – de la Mota","","","Gerard Ortín","30.06.16 – 16.09.16","30.06.16 – 16.09.16","Galeria Estrany – de la Mota","Vijfhoek","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/vijfhoek/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/16_b113_70_70_Sint--tulo_acrilic-sobre-tela-i-70x70cm.jpg","Galeria N2","","","Joan Saló","30.06.16 – 30.07.16","30.06.16 – 30.07.16","Galeria N2","Hic-Stans","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/hic-stans/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Passatge-studio.jpg","Passatge Studio","","","Marcel Rubio y Víctor Balcells","30.06.16 – 09.07.16","30.06.16 – 09.07.16","Passatge Studio","Los músculos de Zaratustra","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/los-musculos-de-zaratustra/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/FIREPLACE.jpg","Fireplace","","","Almunos del Máster de Producción e Investigación Artística","30.06.16 – 21.07.16","30.06.16 – 21.07.16","Fireplace","The hand sweat show","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/the-hand-sweat-show/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/61.jpg","Victor Lope Arte Contemporáneo","","http://www.artbarcelona.es/artnou/es/exposiciones/material1/","Matthias Heiderich","","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Material","Por cien años, la arquitectura ha sido reconocida como una marca indiscutible de la fotografía alemana. De Albert Renger-Patzsch hasta Karl-Hugo Schmölz y por supuesto Hilla y Bernd Becher, muchos innovadores de la fotografía de arquitectura son, en efecto alemanes. 
La fotografía alemana ha llevado al mundo una nueva comprensión de nuestra relación con el entorno humano y con ambiente creado por el humano. Revela como las fotografías de la arquitectura, son importantes, no sólo como arte, sino también como un testimonio del tiempo, las tendencias y la evolución, como el documental de los edificios que han sido destruidos. Las fotos de Matthias Heiderich no son la excepción a esta regla. La influencia de la tradición alemana es omnipresente en su obra. Con el mismo rigor y protagonismo como en Becher, Heiderich también crea tipologías de edificios industriales y estructuras. Al igual que ellos, él no está interesado en la forma humana y sin embargo cada una de sus fotografías está llena de humanidad, haciendo hincapié en cómo cada edificio es un producto de la mente humana y la habilidad.
“Material” es una colección del trabajo de Heiderich producida entre el 2012 y el 2016.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/material1/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/FIREPLACE.jpg","Fireplace","","http://www.artbarcelona.es/artnou/es/exposiciones/the-hand-sweat-show/","Almunos del Máster de Producción e Investigación Artística","","30.06.16 – 21.07.16","Fireplace","The hand sweat show","El día 8 de julio de 2016, Fireplace presentará los resultados del taller-acontecimiento que desarrollará con alumnos del Máster de Producción e Investigación Artística de la Universidad de Barcelona y que ocurrirá los días previos (del 4 al 8 de julio).","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/the-hand-sweat-show/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/senda-31.jpg","Senda – LAB","","","Estefanía Urrutia","30.06.16 – 08.07.16","30.06.16 – 08.07.16","Senda – LAB","Fosforescencias","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/fosforescencias/"
