event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event,event-href,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/2.-El-color-del-movimiento.jpg","Galería Barbié","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/dimensions-davantguarda-es/","Alexander Calder, Anthony Caro, Antoni Tàpies, Fernand Léger, Georges Valmier, Henri Laurens, Jean Arp, Jean Dubuffet, Joan Miró, Juan Gris, Julio González, Marie Blanchard, Pablo Gargallo, Robert Delaunay, Victor Vasarely","","01.10.15 - 04.10.15","Galería Barbié","http://www.barcelonagalleryweekend.com/es/espacio/galeria-barbie-es/","Galería Barbié","Dimensiones de vanguardia","Se trata de una exposición colectiva vertebrada a partir de los principales temas artísticos que inspiraron a los grandes creadores de la vanguardia europea e internacional del siglo XX. La muestra combinará las dos y tres dimensiones dentro de un mismo eje temático, a partir de la obra escultórica, pictórica o de técnica mixta.
Nuestro proyecto nace con el objetivo de demostrar la complejidad del discurso vanguardista, aunado por el espíritu reivindicativo y la capacidad de poner al límite el espacio de la obra. Tal complejidad se materializa en la multiplicidad de lenguajes, capaces de explotar todas las posibilidades formales a partir de la misma idea. Precisamente dichas ideas y preceptos darán lugar a los ejes temáticos de nuestra exposición:

Surrealismo y metamorfosis
El color del movimiento
Materia industrial
Visiones en blanco y negro
La naturaleza femenina en el siglo XX
El cubismo sobre la mesa","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/dimensions-davantguarda-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Fonderie_Dora_Garcia-40-1-small.jpg","Biblioteca del Campo Freudiano","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-biblioteca-dora-garcia-es/","Dora García","","01.10.15 - 04.10.15","Biblioteca del Campo Freudiano","http://www.barcelonagalleryweekend.com/es/espacio/biblioteca-del-camp-freudia-es/","Biblioteca del Campo Freudiano","null","Horario de apertura: jueves 1 y viernes 2 de octubre 17 – 21 h; sábado 3 de octubre 10 – 14 h; domingo 4 de octubre cerrado.

Jueves 19 h: Conversación de Dora García sobre los libros de ficción de la biblioteca.

Viernes 19 h: Conversación entre diversos invitados sobre la fundación de la biblioteca y su papel en la Barcelona de entonces y de ahora.

Sábado 10 h: Debate sobre el novelista irlandés James Joyce (1882-1941) y el psicoanalista y psicquiatra francés Jacques Lacan (1901-1981).
La contribución de Dora García para la serie Composiciones consiste en mostrar un lugar y señalarlo. Este lugar es la Biblioteca del Campo Freudiano de Barcelona, heredera de la Biblioteca Freudiana de Barcelona fundada en 1977 por el crítico de arte y literatura, autor, artista ocasional y psicoanalista Oscar Masotta (1930-1979), que fundó nada más llegar a Barcelona, huyendo de la dictadura argentina y tras pasar por Londres.
El pensamiento del psicoanalista y psiquiatra francés Jacques Lacan (1901-1981) no entró en España por los Pirineos, sino por ultramar: es Masotta el introductor de su pensamiento en el mundo de habla hispana. La importancia de Masotta en ""esa versión psicoanalítica de lo conceptual"" (en palabras de la historiadora del arte Juli Carson) parece estar empezando a adquirir ahora sus verdaderas dimensiones. Masotta fundó la biblioteca junto a su compatriota Germán García y desde entonces ha seguido su labor la Comunidad de Cataluña de la Escuela Lacaniana de Psicoanálisis del Campo Freudiano (ELP).
En esta biblioteca, llama la atención la gran cantidad de libros de ficción que alberga. Esto no es de extrañar, dado el interés del psicoanálisis por la literatura, desde su creación por el neurólogo austriaco Sigmund Freud (1856-1939), así como la importancia del arte y la literatura en el pensamiento lacaniano –como ejemplifica su Seminario 23 'Le Sinthome' (1975), que toma como referencia la obra del novelista irlandés James Joyce (1882-1941).
La intervención de Dora García señala esta biblioteca como un posible nudo de confluencia entre arte, psicoanálisis y literatura. Con la colaboración de la biblioteca se organizarán tres conversaciones. La primera de ellas, un ""solo"" de García, será una conversación sobre los libros de ficción de la biblioteca y se acompañará de una instalación mínima y sobria en la biblioteca. La segunda será una conversación entre varios invitados sobre la fundación de la biblioteca y su papel en la Barcelona de entonces y de ahora. Finalmente, la tercera será una conversación a dúo sobre Joyce y Lacan.
– Dora García y Latitudes","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-biblioteca-dora-garcia-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/CF035885-small1.jpg","Galería Trama","","","Ángel Marcos","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Galería Trama","http://www.barcelonagalleryweekend.com/es/espacio/galeria-trama-esp/","Galería Trama","Alrededor del sueño 5. Barcelona","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/alrededor-del-sueno-5-barcelona-es/"
"","null","","","null","","null","Fundació Suñol","http://www.fundaciosunol.org/es/","null","null","","null","null","null",""
"","null","null","","null","","null","CCCB","http://www.cccb.org/es","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Foto-obra-1.jpg","Palmadotze","","","Daniel G. Andújar, Rogelio López Cuenca","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Palmadotze","http://www.barcelonagalleryweekend.com/es/espacio/palmadotze-es/","Palmadotze","The Art of Seduction","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/the-art-of-seduction-esp/"
"","null","null","","null","","null","Museo Picasso","http://www.museupicasso.bcn.cat/es/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/CAP_ARRANCAT_PERE1993.jpeg","Artur Ramon Art","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/el-prodigi-es/","Carlos Pazos, Evru, Giovani Battista Piranesi, Joan Brossa, Joan Miró, Joan Ponç, Leonardo Alenza, Marcelí Antúnez, Pablo Milicua, Pancrace Bessa, Salvador Dalí, Yolanda Tabanera","","01.10.15 - 21.11.15","Artur Ramon Art","http://www.barcelonagalleryweekend.com/es/espacio/artur-ramon-art-es/","Artur Ramon Art","El Prodigio","Comisarios: Artur Ramon y Pablo Milicua
Esta muestra es la culminación de un viejo proyecto que une al artista Pablo Milicua y al galerista Artur Ramon y que ha encontrado el encaje en el evento del Barcelona Gallery Weekend. Se trata de convertir la galería en un gabinete de curiosidades partiendo de la frase de JV Foix: “Me exalta lo nuevo y me enamora lo viejo”. Nuevo y viejo o tradición y contemporaneidad, como se quiera. La revisión del gabinete de curiosidades o la tradición de la Kunstkammeer o Wunderkammer del Renacimiento a través de una mirada nueva, contemporánea. La juxtaposición de objetos de diversas épocas y naturalezas. El cruce. Lo híbrido. El objeto prodigioso. El sueño.

El protagonista es el objeto maravilloso en el arte. El fetiche. Naturalia. Obras de arte (antiguas y actuales).
Pablo Milicua realiza la selección de los artistas contemporáneos mientras que Artur Ramon busca el diálogo con las obras de los artistas del pasado como Pancrace Bessa, Giovani Battista Piranesi o Leonardo Alenza, entre otros. Entre las obras, encontramos objetos de “naturalia”, donde no faltará un cocodrilo disecado o el gorila que formó parte del mítico establecimiento barcelonés “El taxidermista”.
Artistas “anticuaria”: Salvador Dalí, Joan Miró, Joan Brossa, Joan Ponç, entre otros.

Artistas contemporáneos: Pablo Milicua, Yolanda Tabanera, Evru, Carlos Pazos, Marcel·lí Antúnez, entre otros.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/el-prodigi-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Zeno-of-Citium-ii_116x89_13-small.jpg","Jardines de la Central del Raval","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-rasmus-nilausen-i-pere-llobera-es/","Pere Llobera, Rasmus Nilausen","","01.10.15 - 04.10.15","Jardines de la Central del Raval","http://www.barcelonagalleryweekend.com/es/espacio/jardines-de-la-central-del-raval/","Jardines de la Central del Raval","null","La pintura de estos dos artistas coincide por su actitud respetuosa, a veces melancólica o paródica, hacia el género tradicional y su primitiva integración artesanal. A menudo, las telas de Nilausen se conciernen con una temática ""menor"" o anecdótica, como por ejemplo las velas de cera o las verduras. No obstante, en el caso de Omnipotence (2013), por citar un ejemplo, donde el artista representa una explosión de zanahorias, su gestualidad delata una reflexión sobre la fundamentalidad de las facultades del pintor. Comer zanahoria, se supone, mejora la vista y es, además, una metáfora de recompensa por el esfuerzo realizado. En The Origin (2014), el lienzo muestra principalmente un racimo de uvas, en referencia a un cuadro de Zeuxis de Heraclea, tan exquisitamente realista que los pájaros se posaron sobre él.
A menudo Llobera se refiere a los peligros del virtuosismo y la heroicidad pictórica que adornan su obra inquieta y paradójica. Sus cuadros de 2012, por ejemplo, muestran a un pintor a punto de ser devorado por un felino (The puma attacks the plein-air artist) o aparentemente flotando en alta mar sobre un iceberg (The ice boat). Premonition, también de 2012, es una representación de modesto tamaño de un paisaje aparentemente sublime, de una desolada montaña devastada por la tormenta. Sin embargo, nos damos cuenta enseguida de que en realidad se trata de un montículo de sacos negros de desecho y de unos cartones: una técnica de diorama de estudio a la que Llobera ha recurrido con frecuencia.
Nilausen y Llobera comparten su espacio de trabajo en los estudios Salamina en L'Hospitalet de Llobregat que ambos co-fundaron, aunque la invitación para que colaboren en una presentación de Composiciones significa la primera vez que exponen juntos.
– Latitudes","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-rasmus-nilausen-i-pere-llobera-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/12.jpg","A|34","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/antoni-llena-fragments-trajectoria-es/","Antoni Llena","","01.10.15 - 28.11.15","A|34","http://www.barcelonagalleryweekend.com/es/espacio/a34-es/","A|34","Antoni Llena. Fragmentos de una trayectoria","La exposición presenta una selección de trabajos de diversas etapas del artista, desde sus esculturas disecadas de finales de los sesenta hasta sus trabajos más recientes. La muestra incluye esculturas, dibujos, pinturas y ensamblajes.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/antoni-llena-fragments-trajectoria-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/02-small.jpg","Galería Marc Domènech","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/magnelli-melotti-miro-i-el-ball-de-les-formes-es/","Alberto Magnelli, Fausto Melotti, Joan Miró","","01.10.15 - 04.10.15","Galería Marc Domènech","http://www.barcelonagalleryweekend.com/es/espacio/galeria-marc-domenech-es/","Galería Marc Domènech","Magnelli, Melotti, Miró y el baile de las formas","La exposición propone un sorprendente recorrido por la obra de Alberto Magnelli, Fausto Melotti y Joan Miró. Nunca antes se había expuesto la obra de estos tres artistas de forma conjunta. De hecho, la obra escultórica de Fausto Melotti se ha visto en contadas ocasiones en Barcelona y ahora será la primera vez que se expone conjuntamente con las de Alberto Magnelli y las de Joan Miró.
La finalidad de esta muestra es generar un diálogo entre sus obras con el objetivo de que el visitante establezca los nexos de unión, tanto estéticos como formales, que se puedan desprender de esta confrontación a tres bandas.
El uso que cada uno de estos artistas hace de las formas, los equilibrios entre planos, así como el cromatismo empleado y la combinación austera y poética de los volúmenes, genera y sugiere toda una serie de imprevistas concomitancias formales que coexisten y conviven a pesar de haber sido, en muchos casos, gestadas en lugares, épocas y entornos diversos.
Esta muestra es por lo tanto un itinerario por el mundo sutil, sugerente y lírico de tres de los más grandes artistas del siglo XX y nos hace partícipes de su particular y extraordinario baile de formas.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/magnelli-melotti-miro-i-el-ball-de-les-formes-es/"
"","null","null","","null","","null","Fundació Suñol","http://www.fundaciosunol.org/es/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/12.jpg","A|34","","","Antoni Llena","01.10.15 - 28.11.15","01.10.15 - 28.11.15","A|34","http://www.barcelonagalleryweekend.com/es/espacio/a34-es/","A|34","Antoni Llena. Fragmentos de una trayectoria","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/antoni-llena-fragments-trajectoria-es/"
"","null","null","","null","","null","Pavellón Mies van der Rohe","http://miesbcn.com/es/el-pabellon/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/garlito_180_200_cm.jpg","Galería Balaguer","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/espin-es/","Diego Pujal","","01.10.15 - 04.10.15","Galería Balaguer","http://www.barcelonagalleryweekend.com/es/espacio/galeria-balaguer-es/","Galería Balaguer","Espín","Las pinturas que presenta Diego Pujal dan lugar al surgimiento de formas que nos enfrentan al enigma de la conformación del sentido y al tamiz de nuestro propio entendimiento.

Pinturas que, aunque no intentan transmitir un 'aquello' concreto o representar un 'algo' específico, posibilitan el surgimiento de un diálogo que se constituye y entreteje mientras éstas son observadas.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/espin-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Dedalo-seriagraf--a-70x50cm-2010.jpg","Ana Mas Projects","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-ana-mas-projects-es/","Irene van de Mheen, Lucia C. Pino","","01.10.15 - 20.11.15","Ana Mas Projects","http://www.barcelonagalleryweekend.com/es/espacio/ana-mas-projects-es/","Ana Mas Projects","null","Ana Mas Projects (AMP), el nuevo proyecto de la galerista Ana Mas, arranca en el marco del primer Gallery Weekend. Para la inauguración de la sede de Barcelona, ubicada en un antiguo edificio industrial transformado hoy en epicentro cultural de l’Hospitalet, se ha programado el diálogo de dos artistas cuyo trabajo centra su atención en los espacios y los materiales. AMP exhibirá la nueva producción de Irene van de Mheen (Ermelo, Holanda, 1967) y Lucía C. Pino (Valencia), configurada a modo de un diálogo site specific que será capaz de alterar, enriquecer y tomar conciencia de este nuevo espacio expositivo ahondando en sus múltiples capas de significado: la arquitectura, las atmósferas, la iluminación, la composición, el diseño de interiores, el lenguaje de los materiales o la circulación.
Irene van de Mheen explora en su trabajo las posibilidades y limitaciones del dibujo. Investiga la relación entre el espacio físico y su proyección en una superficie plana; esa leve frontera que separa la ilusión de su realidad. Lucía C. Pino configura una obra escultórica que se expande generando experiencias complejas de movimiento, peso, tensión, ejecución estructural, contrapunto formal y ritmo, lo que genera una resonancia y una interacción entre el espacio y la gente que lo experimenta, más allá de las imágenes retinianas aisladas.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-ana-mas-projects-es/"
"","null","","","null","","null","MACBA","http://www.macba.cat/es/inicio","null","null","","null","null","null",""
"","null","null","","null","","null","Bar Project","http://barproject.net/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Torres-Garc--a.3.jpg","Sala Dalmau","","","Joaquín Torres-García","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Sala Dalmau","http://www.barcelonagalleryweekend.com/es/espacio/sala-dalmau-es/","Sala Dalmau","null","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-sala-dalmau-esp/"
"","null","","","null","","null","La Capella","http://lacapella.bcn.cat/es","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/CF035885-small1.jpg","Galería Trama","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/alrededor-del-sueno-5-barcelona-es/","Ángel Marcos","","01.10.15 - 04.10.15","Galería Trama","http://www.barcelonagalleryweekend.com/es/espacio/galeria-trama-esp/","Galería Trama","Alrededor del sueño 5. Barcelona","A partir de 2001, Ángel Marcos ha realizado una serie de trabajos reunidos bajo el título «Alrededor del sueño», que comprende los archivos de las fotografías realizadas en Estados Unidos (Nueva York), Cuba (La Habana), China (Shanghái) y recientemente Madrid, en 2014.
Con motivo del Gallery Weekend, Ángel Marcos amplia su proyecto «Alrededor del sueño» asumiendo el reto de fotografiar la ciudad de Barcelona en la muestra que se inaugurará para el evento. El resultado se podrá ver en la Galería Trama durante el mes de octubre.
A grandes rasgos, el proyecto global apunta al hecho de cómo, en un tiempo desnudo de coberturas ideológicas en el que se piensa en la existencia de estados posnacionales o supranacionales, ciudadanías plurinacionales, identidades múltiples, etc., inscritos en un marco general de integración de la diversidad y lo plural, los grandes sueños colectivos del siglo xviii y xix sólo pueden ofrecer su desactualización en imágenes residuales de fuerte impacto conceptual e historiográfico.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/alrededor-del-sueno-5-barcelona-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Zeno-of-Citium-ii_116x89_13-small.jpg","Jardines de la Central del Raval","","","Pere Llobera, Rasmus Nilausen","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Jardines de la Central del Raval","http://www.barcelonagalleryweekend.com/es/espacio/jardines-de-la-central-del-raval/","Jardines de la Central del Raval","null","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-rasmus-nilausen-i-pere-llobera-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/CAP_ARRANCAT_PERE1993.jpeg","Artur Ramon Art","","","Carlos Pazos, Evru, Giovani Battista Piranesi, Joan Brossa, Joan Miró, Joan Ponç, Leonardo Alenza, Marcelí Antúnez, Pablo Milicua, Pancrace Bessa, Salvador Dalí, Yolanda Tabanera","01.10.15 - 21.11.15","01.10.15 - 21.11.15","Artur Ramon Art","http://www.barcelonagalleryweekend.com/es/espacio/artur-ramon-art-es/","Artur Ramon Art","El Prodigio","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/el-prodigi-es/"
"","null","","","null","","null","Centro de Arte Tecla Sala","http://www.teclasala.net/inici_2.aspx","null","null","","null","null","null",""
"","null","null","","null","","null","Fabra i Coats. Centre d'Art Contemporani","http://fabraicoats.bcn.cat/es/","null","null","","null","null","null",""
"","null","null","","null","","null","CaixaForum","http://obrasocial.lacaixa.es/nuestroscentros/caixaforumbarcelona/caixaforumbarcelona_es.html","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/02-small.jpg","Galería Marc Domènech","","","Alberto Magnelli, Fausto Melotti, Joan Miró","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Galería Marc Domènech","http://www.barcelonagalleryweekend.com/es/espacio/galeria-marc-domenech-es/","Galería Marc Domènech","Magnelli, Melotti, Miró y el baile de las formas","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/magnelli-melotti-miro-i-el-ball-de-les-formes-es/"
"","null","null","","null","","null","Blueproject Foundation","http://blueprojectfoundation.org/es/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/KHALILI_FOREIGN-OFFICE_ALETTI_CASINO-small4.jpg","ADN Galería","","","Bouchra Khalili","01.10.15 - 09.11.15","01.10.15 - 09.11.15","ADN Galería","http://www.barcelonagalleryweekend.com/es/espacio/adn-galeria-es/","ADN Galería","Foreign office","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/foreign-office-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/JM-1-small.jpg","Museo Geológico del Seminario","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-museu-geologic-jordi-mitja-es/","Jordi Mitjà","","01.10.15 - 04.10.15","Museo Geológico del Seminario","http://www.barcelonagalleryweekend.com/es/espacio/museu-geologic-del-seminari-es/","Museo Geológico del Seminario","null","La obra de Jordi Mitjà está íntimamente asociada con la región del Empordà, en el nordeste de Cataluña, bordeando los Pirineos y el Mediterráneo. Inspirándose en este territorio como recurso histórico y archivo natural, la obra de Mitjà emerge de una especie de herencia fronteriza y de la contracultura local. Residuos  auténticos desechos figuran en su trabajo tanto como lo hacen los fragmentos de la historia del arte o de la política. Su arte hace referencia, por ejemplo, al rico legado del surrealismo y del conceptualismo de una región donde Salvador Dalí y Marcel Duchamp hicieron mella y en la que en 1940 tuvo lugar la trágica muerte del filósofo Walter Benjamin en la ciudad fronteriza de Portbou. (Su escultura Forat d'escala (2010) incorpora un fragmento de una parte del monumento dedicado a Benjamin que el padre de Mitjà construyó en la década de los 90.) En tiempos recientes, Mitjà ha dejado a un lado su estrategia editorial acumuladora y su actitud de basurero-archivista hacia las imágenes que había caracterizado su obra anterior. En 2015, por ejemplo, su exposición en la Galería Maserre de Barcelona marcó un cambio hacia una actitud ""povera"" hacia las esculturas mostradas y entre las que se incluía una serie de trabajos hechos con restos de madera, metal, papel quemado y arcilla.
La participación de Mitjà en Composiciones tendrá lugar en el Museo Geológico del Seminario de Barcelona, una institución dedicada principalmente a la paleontología y al estudio de fósiles. Teniendo en cuenta la delimitación de la biología evolutiva y de la geología antigua en Cataluña, la instalación de Mitjà se centra en la relación primitiva entre materiales y morfología. Una serie de retroproyectores iluminarán el espacio principal del museo con un catálogo de imágenes, sombras y geometrías; capas que Mitjà ha desenterrado mediante su exploración de la taxonomía geoespacial de esta única colección.
– Latitudes","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-museu-geologic-jordi-mitja-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Arles-2013-small.jpg","Galería Senda","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-senda-es/","Mathieu Pernot","","01.10.15 - 21.11.15","Galería Senda","http://www.barcelonagalleryweekend.com/es/espacio/senda-es/","Galería Senda","Destrucción","En la exposición Destrucción, Mathieu Pernot propone dos relatos fotográficos que tienen su origen en el gesto de la destrucción y cuestionan la memoria a través de las imágenes de lo que desaparece.
En la primera sala arde una caravana que perteneció a una familia de gitanos. Frente a esta imagen, se muestra un archivo personal e íntimo de un miembro de esta comunidad, Bietschika Gorgan, constituido por fotografías que relatan su vida desde los años 30 y hasta su muerte a principios del 2000. Se trata de un archivo excepcional ya que sobrevivió a su desaparición programada, puesto que tradicionalmente, estas comunidades nómadas prefieren no dejar rastros ni huellas. El relato es privado y el archivo del relato debería haber sido secreto.
En la segunda sala, Mathieu Pernot presenta la serie Grand Ensemble, concepto urbanístico nacido tras la Segunda Guerra Mundial en Francia y que desarrolló la construcción de las barriadas periféricas sobre todo en los años 60. El Grand Ensemble define una forma urbana que acoge un gran número de habitantes y se caracteriza por el carácter repetitivo de sus edificios. Esta serie está dividida en dos subseries, Las postales y Las implosiones. Las postales son imágenes ampliadas de una colección de postales de los años 60 y que materializan la gran utopía urbana del progreso social. Las implosiones son el contrapunto de las postales; fotografías de la destrucción programada de dichos edificios periféricos fruto del fracaso de la utopía y dentro del programa de renovación urbanística a partir de los años 2000. Se trata de un archivo que apela a la historia colectiva y la destrucción de los edificios es, en este caso, un gesto político.
Las dos series presentadas en esta exposición constituyen una reflexión sobre la desaparición y, al mismo tiempo, mediante la colección de archivos fotográficos, muestran los elementos constitutivos de la memoria a través de las imágenes. Hablan de la necesidad de un grupo o de una sociedad de operar su propia destrucción para poder seguir adelante. Cuestionan también la capacidad de la fotografía, en sus diferentes usos, para construir un relato memorial de lo que ya no existe.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-senda-es/"
